            sqrt(s) [GeV]               sigma [mb]
       0.0203158350223226     0.000603344186216957
       0.0262678725302872       0.0010999209834207
       0.0322199100382519      0.00183366591022481
       0.0381719475462165       0.0027761609322341
       0.0441239850541811      0.00392142992441079
       0.0500760225621458      0.00527120557399612
       0.0560280600701104      0.00683056109414861
        0.061980097578075      0.00860632994476694
       0.0679321350860397       0.0106064586246853
       0.0738841725940043       0.0128397196599093
       0.0798362101019689       0.0153155797879581
       0.0857882476099335       0.0180441412778164
       0.0917402851178982       0.0210361204947661
       0.0976923226258628        0.024302846845508
        0.103644360133827       0.0278562736981093
        0.109596397641792       0.0317089968817562
        0.115548435149757       0.0358742783560093
        0.121500472657721       0.0403660738407838
        0.127452510165686       0.0451990632420984
        0.133404547673651       0.0503886840881774
        0.139356585181615       0.0559511670561799
         0.14530862268958       0.0619035738372894
        0.151260660197544       0.0682638371250307
        0.157212697705509       0.0750508027012451
        0.163164735213474       0.0822842735964308
        0.169116772721438       0.0899850563108058
        0.175068810229403       0.0981750090837676
        0.181020847737368        0.106877092193835
        0.186972885245332        0.116115420256661
        0.192924922753297        0.125915316495807
        0.198876960261262        0.136303368883027
        0.204828997769226         0.14730748809011
        0.210781035277191         0.15895696711477
        0.216733072785155         0.17128254240788
         0.22268511029312         0.18431645637373
        0.228637147801085        0.198092520710192
        0.234589185309049        0.212646180722052
        0.240541222817014        0.228014579754511
        0.246493260324979        0.244236623523001
        0.252445297832943        0.261353043629476
        0.258397335340908        0.279406459747409
        0.264349372848873        0.298441439257604
        0.270301410356837        0.318504553916265
        0.276253447864802        0.339644431923662
        0.282205485372766        0.361911804266891
        0.288157522880731        0.385359543794535
        0.294109560388696        0.410042695140776
         0.30006159789666        0.436018493547338
        0.306013635404625        0.463346370067081
         0.31196567291259        0.492087940577627
        0.317917710420554        0.522306975411401
        0.323869747928519        0.554069346253769
        0.329821785436483        0.587442946249401
        0.335773822944448        0.622497579065163
        0.341725860452413         0.65930481192803
        0.347677897960377        0.697937787282207
        0.353629935468342        0.738470987127609
        0.359581972976307        0.780979943591516
        0.365534010484271        0.825540888606535
        0.371486047992236        0.872230335393069
        0.377438085500201        0.921124583621556
        0.383390123008165         0.97229914022972
         0.38934216051613         1.02582804708152
