            sqrt(s) [GeV]               sigma [mb]
       0.0203158350223226     0.000315443407818158
       0.0262678725302872     0.000403202405493501
       0.0322199100382519     0.000609180608922882
       0.0381719475462165     0.000896607523316988
       0.0441239850541811      0.00125282937659395
       0.0500760225621458      0.00167258917066194
       0.0560280600701104      0.00215357704306962
        0.061980097578075      0.00269483057149639
       0.0679321350860397      0.00329607294534532
       0.0738841725940043      0.00395740947898275
       0.0798362101019689      0.00467917698584454
       0.0857882476099335        0.005461864237158
       0.0917402851178982      0.00630606787671877
       0.0976923226258628      0.00721246709682164
        0.103644360133827       0.0081818087406798
        0.109596397641792      0.00921489847775698
        0.115548435149757       0.0103125952789272
        0.121500472657721       0.0114758104642313
        0.127452510165686       0.0127055026286838
        0.133404547673651       0.0140026811237522
        0.139356585181615       0.0153684046362129
         0.14530862268958       0.0168037825733849
        0.151260660197544       0.0183099765032537
        0.157212697705509       0.0198882019488445
        0.163164735213474       0.0215397304883534
        0.169116772721438       0.0232658921294992
        0.175068810229403       0.0250680779414581
        0.181020847737368       0.0269477429272913
        0.186972885245332       0.0289064090426239
        0.192924922753297          0.0309456688016
        0.198876960261262       0.0330671886000976
        0.204828997769226       0.0352727125591624
        0.210781035277191       0.0375640666057271
        0.216733072785155       0.0399431626983189
         0.22268511029312        0.042412003934873
        0.228637147801085       0.0449726879477622
        0.234589185309049       0.0476274131028048
        0.240541222817014       0.0503784831751196
        0.246493260324979       0.0532283128910139
        0.252445297832943       0.0561794329209855
        0.258397335340908       0.0592344967560788
        0.264349372848873       0.0623962847850047
        0.270301410356837       0.0656677114220909
        0.276253447864802       0.0690518308321009
        0.282205485372766       0.0725518422870888
        0.288157522880731       0.0761710960105377
        0.294109560388696       0.0799130980234711
         0.30006159789666       0.0837815160506038
        0.306013635404625       0.0877801830862767
         0.31196567291259        0.091913101659777
        0.317917710420554       0.0961844457710052
        0.323869747928519        0.100598563291179
        0.329821785436483        0.105159975240469
        0.335773822944448        0.109873374429608
        0.341725860452413        0.114743621332342
        0.347677897960377        0.119775737050916
        0.353629935468342         0.12497489362706
        0.359581972976307          0.1303464009965
        0.365534010484271        0.135895688006209
        0.371486047992236         0.14162828038051
        0.377438085500201        0.147549770807037
        0.383390123008165        0.153665785615942
         0.38934216051613        0.159981939532593
        0.395294198024094        0.166503786021091
        0.401246235532059        0.173236756463042
        0.407198273040024        0.180186088702795
        0.413150310547988        0.187356746864914
        0.419102348055953        0.194753326891785
        0.425054385563918        0.202379948643516
        0.431006423071882        0.210240139799269
        0.436958460579847        0.218336700975684
        0.442910498087812        0.226671561258361
        0.448862535595776        0.235245620252431
        0.454814573103741        0.244058577924041
        0.460766610611705        0.253108756833176
         0.46671864811967        0.262392915408734
        0.472670685627635        0.271906059361109
        0.478622723135599        0.281641250463272
        0.484574760643564        0.291589414169498
        0.490526798151529        0.301739101980252
        0.496478835659493        0.312076192299804
        0.502430873167458         0.32258618595626
        0.508382910675423        0.333249130412216
        0.514334948183387        0.344043515336614
        0.520286985691352        0.354945244779773
        0.526239023199316        0.365927731025748
        0.532191060707281        0.376962070294288
        0.538143098215246        0.388017300330454
         0.54409513572321        0.399060741701424
        0.550047173231175        0.410058423736367
        0.555999210739139        0.420975589438449
        0.561951248247104        0.431777272741138
        0.567903285755069        0.442428935064115
        0.573855323263033        0.452897143493512
        0.579807360770998        0.463150273091617
        0.585759398278963        0.473159206656668
        0.591711435786927        0.482898009457603
        0.597663473294892        0.492344551984907
        0.603615510802857        0.501481056824647
        0.609567548310821        0.510294546764956
        0.615519585818786        0.518777176576876
         0.62147162332675        0.526926434198534
        0.627423660834715        0.534745203921389
         0.63337569834268        0.542241690894741
        0.639327735850644        0.549429209957954
        0.645279773358609         0.55632585176968
        0.651231810866574        0.562954038692539
        0.657183848374538        0.569339994047817
        0.663135885882503        0.575513140959273
        0.669087923390468        0.581505460363617
        0.675039960898432        0.587350827104284
        0.680991998406397        0.593084347696238
        0.686944035914361        0.598741721641001
        0.692896073422326        0.604358639651941
        0.698848110930291         0.60997023653725
        0.704800148438255        0.615610606777266
         0.71075218594622        0.621312390333057
        0.716704223454185        0.627106432490405
        0.722656260962149        0.633021516729323
        0.728608298470114        0.639084169911795
        0.734560335978078        0.645318535940743
        0.740512373486043        0.651746309262998
        0.746464410994008        0.658386724546392
        0.752416448501972        0.665256593042434
        0.758368486009937        0.672370378075781
        0.764320523517902        0.679740303384201
        0.770272561025866        0.687376484205374
        0.776224598533831        0.695287077205658
        0.782176636041796        0.703478441503368
         0.78812867354976        0.711955305909874
        0.794080711057725         0.72072093789393
        0.800032748565689        0.729777310148895
        0.805984786073654        0.739125262761131
        0.811936823581619        0.748764657074016
        0.817888861089583         0.75869452115649
        0.823840898597548         0.76891318446602
        0.829792936105513        0.779418401838389
        0.835744973613477        0.790207466347299
        0.841697011121442        0.801277310195896
        0.847649048629406        0.812624595564018
        0.853601086137371        0.824245793653921
        0.859553123645336        0.836137255501413
          0.8655051611533        0.848295271341421
        0.871457198661265        0.860716122979767
         0.87740923616923        0.873396127542071
        0.883361273677194        0.886331674425017
        0.889313311185159        0.899519255696238
        0.895265348693124        0.912955491035301
        0.901217386201088         0.92663714744356
        0.907169423709053        0.940561154855976
        0.913121461217017        0.954724617798625
        0.919073498724982        0.969124823924836
        0.925025536232947        0.983759249676398
        0.930977573740911        0.998625563527834
        0.936929611248876         1.01372162759572
        0.942881648756841         1.02904549718663
        0.948833686264805         1.04459541923865
         0.95478572377277         1.06036982976285
        0.960737761280735          1.0763673501425
        0.966689798788699         1.09258678313788
        0.972641836296664         1.10902710800362
        0.978593873804628         1.12568747563325
        0.984545911312593          1.1425672029098
        0.990497948820558         1.15966576782916
        0.996449986328522         1.17698280347812
         1.00240202383649         1.19451809268017
         1.00835406134445          1.2122715627333
         1.01430609885242         1.23024327975081
         1.02025813636038         1.24843344350326
         1.02621017386835         1.26684238257552
         1.03216221137631         1.28547054917033
         1.03811424888427         1.30431851454519
         1.04406628639224         1.32338696442066
          1.0500183239002         1.34267669461105
         1.05597036140817         1.36218860689839
         1.06192239891613         1.38192370503577
          1.0678744364241         1.40188309085909
         1.07382647393206         1.42206796063109
         1.07977851144003         1.44247960161322
         1.08573054894799         1.46311938827319
         1.09168258645596         1.48398877914711
         1.09763462396392         1.50508931336528
         1.10358666147189         1.52642260697521
         1.10953869897985         1.54799034951261
         1.11549073648782         1.56979429990294
         1.12144277399578         1.59183628201743
         1.12739481150374         1.61411817949482
         1.13334684901171         1.63664192924371
         1.13929888651967         1.65940951317363
         1.14525092402764         1.68242294672625
          1.1512029615356         1.70568426256253
         1.15715499904357         1.72919548575249
         1.16310703655153         1.75295859389517
          1.1690590740595         1.77697544861789
         1.17501111156746          1.8012476682564
         1.18096314907543         1.82577636564156
         1.18691518658339          1.8505615268818
         1.19286722409136         1.87560018649929
         1.19881926159932         1.90087847970523
         1.20477129910728         1.92593705603398
