            sqrt(s) [GeV]               sigma [mb]
        0.821408990806992     0.000210444839926314
        0.825375672804191        0.169930279427819
        0.829342354801389         0.24031685843654
        0.833309036798588        0.294331153329846
        0.837275718795786        0.339885657727914
        0.841242400792985        0.380050082210005
        0.845209082790183        0.416401684660959
        0.849175764787382        0.449879381658597
         0.85314244678458        0.481096305841146
        0.857109128781779        0.510479328951542
        0.861075810778977        0.538339952428256
        0.865042492776176        0.564913794442151
        0.869009174773374        0.590384153385439
        0.872975856770573        0.614896840579284
        0.876942538767771        0.638569926201278
         0.88090922076497        0.661500373851915
        0.884875902762168        0.683768701634721
        0.888842584759367        0.705442359125795
        0.892809266756565        0.726578259438282
        0.896775948753764         0.74722475445759
        0.900742630750962        0.767423244127735
         0.90470931274816        0.787209544555957
        0.908675994745359        0.806615079815824
        0.912642676742558        0.825667920480849
        0.916609358739756        0.844393661502778
        0.920576040736954        0.862816114548538
        0.924542722734153        0.880957797978231
        0.928509404731351        0.898840224076377
         0.93247608672855        0.916484011245579
        0.936442768725748        0.933908866786497
        0.940409450722947        0.951133499251825
        0.944376132720145        0.968175510159605
        0.948342814717344        0.985051306352943
        0.952309496714542         1.00177605362885
        0.956276178711741         1.01836367767732
        0.960242860708939         1.03482690761682
        0.964209542706138         1.05117735047699
        0.968176224703336         1.06742558603736
        0.972142906700535         1.08358127013186
        0.976109588697733         1.09965323768902
        0.980076270694932          1.1156496008402
         0.98404295269213         1.13157783825286
        0.988009634689329         1.14744487419802
        0.991976316686527         1.16325714736621
        0.995942998683726         1.17902067025541
        0.999909680680924         1.19474107882069
         1.00387636267812         1.21042367577242
         1.00784304467532         1.22607346645084
         1.01180972667252         1.24169518913767
         1.01577640866972         1.25729334119803
         1.01974309066692         1.27287220120113
         1.02370977266412         1.28843584791603
         1.02767645466131         1.30398817688874
         1.03164313665851         1.31953291463022
         1.03560981865571         1.33507363123065
         1.03957650065291           1.350613751281
         1.04354318265011         1.36615656408133
         1.04750986464731         1.38170523202679
          1.0514765466445         1.39726279850542
          1.0554432286417         1.41283219611609
          1.0594099106389         1.42841625119605
          1.0633765926361         1.44401769175416
          1.0673432746333         1.45963915179681
          1.0713099566305          1.4752831765161
          1.0752766386277         1.49095222763855
         1.07924332062489         1.50664868653953
         1.08321000262209         1.52237485901188
         1.08717668461929         1.53813297900356
         1.09114336661649         1.55392521165258
         1.09511004861369         1.56975365669821
         1.09907673061089         1.58562035161542
         1.10304341260809         1.60152727421752
         1.10701009460528         1.61747634537299
         1.11097677660248         1.63346943137564
         1.11494345859968         1.64950834654202
         1.11891014059688          1.6655948548081
         1.12287682259408         1.68173067243339
         1.12684350459128         1.69791746919698
         1.13081018658847          1.7141568706238
         1.13477686858567         1.73045045954055
         1.13874355058287         1.74679977738288
         1.14271023258007         1.76320632576033
         1.14667691457727         1.77967156781411
         1.15064359657447         1.79619692884904
         1.15461027857167         1.81278379799776
         1.15857696056886         1.82943352858969
         1.16254364256606         1.84614743869853
         1.16651032456326          1.8629268115134
         1.17047700656046         1.87977289553807
         1.17444368855766         1.89668690325306
         1.17841037055486         1.91367001014405
         1.18237705255205         1.93072335130655
         1.18634373454925         1.94784801605092
         1.19031041654645         1.96504503763324
         1.19427709854365          1.9823153732644
         1.19824378054085         1.99965986245553
         1.20221046253805         2.01707912852883
         1.20617714453525         2.03457328932642
         1.21014382653244          2.0521407207987
         1.21411050852964         2.06971642200123
