                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.07     0.000254627666303796     0.000254627666303796     3.57698612793629e-05     3.57941008598581e-07     3.57941008598581e-07     4.87703413708609e-08         10.4826757824624         0.38220616681146         0.38220616681146         0.55435994478967        0.231029876425869        0.231029876425869        0.231029876425869
                    0.071     0.000273035851477868     0.000273035851477231     3.95828475907613e-05     4.21882028510133e-07     4.21882028509106e-07     5.92421913514948e-08         10.4791344512273        0.380777524992769        0.380777524992992         0.55332041703465        0.231029876425869        0.231029876425869        0.231029876425869
                    0.072     0.000292506077179732     0.000292506077180548     4.37209097091421e-05     4.95536112474501e-07     4.95536112475947e-07     7.16446528437307e-08         10.4755312235788         0.37927044339015        0.379270443389878        0.552223275813012        0.231029876425869        0.231029876425869        0.231029876425869
                    0.073     0.000313096479743841     0.000313096479743114     4.82066884927343e-05     5.80148568445327e-07     5.80148568443913e-07     8.62787414577528e-08         10.4719937258639        0.377680651404228         0.37768065140446        0.551065471344261        0.231029876425869        0.231029876425869        0.231029876425869
                    0.074     0.000334869946821446     0.000334869946822433     5.30644523553491e-05     6.77103074841146e-07     6.77103074843245e-07     1.03485013220609e-07          10.468676398994        0.376003485095061        0.376003485094761        0.549843689976983        0.231029876425869        0.231029876425869        0.231029876425869
                    0.075     0.000357894759227399     0.000357894759229491     5.83202879159198e-05      7.8793748072492e-07     7.87937480729773e-07     1.23648182527041e-07         10.4656965181709        0.374233829375713        0.374233829375106         0.54855431627429        0.231029876425869        0.231029876425869        0.231029876425869
                    0.076      0.00038224535263093     0.000382245352630524     6.40023253505592e-05      9.1436174493611e-07     9.14361744935084e-07     1.47202339006355e-07         10.4633156665424         0.37236604889973        0.372366048899842        0.547193387783999        0.231029876425869        0.231029876425869        0.231029876425869
                    0.077     0.000408003227151931     0.000408003227151236     7.01410064569798e-05     1.05827877750815e-06     1.05827877750624e-06     1.74636879359818e-07         10.4617247090887        0.370393905151648        0.370393905151832        0.545756540907345        0.231029876425869        0.231029876425869        0.231029876425869
                    0.078      0.00043525804184466     0.000435258041844558     7.67694058299606e-05     1.22180886817584e-06     1.22180886817554e-06     2.06503302205056e-07         10.4611663083673        0.368310456263976        0.368310456264002        0.544238945663386        0.231029876425869        0.231029876425869        0.231029876425869
                    0.079     0.000464108943022584     0.000464108943023386     8.39236188044388e-05     1.40731859468453e-06     1.40731859468713e-06     2.43423056922602e-07         10.4618826362002        0.366107934861329        0.366107934861134        0.542635226356158        0.231029876425869        0.231029876425869        0.231029876425869
                     0.08      0.00049466619079588      0.00049466619079664     9.16432341367603e-05      1.6174553855318e-06     1.61745538553446e-06     2.86096695426115e-07         10.4641872522582        0.363777597842038        0.363777597841861        0.540939364298382        0.231029876425869        0.231029876425869        0.231029876425869
