                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.04     2.93350405249679e-07     2.93350405249679e-07     5.34719439932476e-09     2.40821989765357e-08     2.40821989765357e-08     4.38924949135748e-10         5.26147209487316        0.367631947389915        0.367631947389915        0.549471820239561                     0.05                     0.05                     0.05
                    0.041     3.71194928783735e-07     3.71194928783572e-07     7.54875039866292e-09       3.238934629196e-08     3.23893462919457e-08     6.58598751930063e-10         5.27546585726335        0.367627592004846        0.367627592004867        0.549469830077031                     0.05                     0.05                     0.05
                    0.042      4.6496831832601e-07     4.64968318324663e-07     1.04939371709556e-08     4.29986170446256e-08      4.2998617044501e-08     9.70297405867218e-10         5.28825104799522        0.367622335510848        0.367622335510991        0.549467421309086                     0.05                     0.05                     0.05
                    0.043     5.76964261219435e-07     5.76964261219968e-07     1.43805059122542e-08     5.63948381030181e-08     5.63948381030702e-08     1.40536186472148e-09         5.29983631445863        0.367616045707356        0.367616045707309        0.549464530405272                     0.05                     0.05                     0.05
                    0.044     7.09659920657043e-07     7.09659920659809e-07     1.94445992815116e-08     7.31321659932994e-08     7.31321659935847e-08     2.00339964414714e-09         5.31022804168029        0.367608579386193        0.367608579385989         0.54946108802429                     0.05                     0.05                     0.05
                    0.045     8.65715797661013e-07     8.65715797655874e-07     2.59652872016806e-08     9.38388255587921e-08     9.38388255582349e-08     2.81381932901178e-09         5.31943089355492        0.367599782341676        0.367599782341993        0.549457018910598                     0.05                     0.05                     0.05
                    0.046     1.04797477961094e-06     1.04797477961094e-06     3.42692069394596e-08     1.19221633185043e-07     1.19221633185044e-07     3.89751727973507e-09         5.32744898773046         0.36758948941845        0.367589489418449        0.549452241808676                     0.05                     0.05                     0.05
                    0.047     1.25946046816433e-06     1.25946046816134e-06     4.47352665358838e-08     1.50070275174797e-07      1.5007027517444e-07     5.32871214660484e-09         5.33428357746448        0.367577524614797        0.367577524614931         0.54944666940089                     0.05                     0.05                     0.05
                    0.048     1.50337488089381e-06     1.50337488090009e-06     5.77993713377195e-08     1.87261318446367e-07      1.8726131844715e-07     7.19692064223698e-09         5.33993758530516        0.367563701236072        0.367563701235831        0.549440208269369                     0.05                     0.05                     0.05
                    0.049     1.78309561977809e-06     1.78309561978345e-06     7.39591348735506e-08     2.31761937018454e-07     2.31761937019151e-07     9.60906607612345e-09         5.34441316330489        0.367547822104025        0.367547822103848        0.549432758886508                     0.05                     0.05                     0.05
                     0.05      2.1021725976768e-06     2.10217259769559e-06      9.3779678544532e-08     2.84633343763797e-07     2.84633343766341e-07     1.26918639029639e-08         5.34771266773751        0.367529679798464        0.367529679797923        0.549424215621483                     0.05                     0.05                     0.05
                    0.051     2.46432440865471e-06     2.46432440867916e-06     1.17893587741618e-07      3.4703392221697e-07     3.47033922220415e-07     1.65935448499421e-08         5.34979524596105        0.367509056954105         0.36750905695349        0.549414466777898                     0.05                     0.05                     0.05
                    0.052     2.87343442502679e-06      2.8734344249992e-06     1.47012269672192e-07     4.20222058398052e-07     4.20222058394016e-07     2.14872100623752e-08         5.35072292841994        0.367485726564631         0.36748572656524        0.549403394638141                     0.05                     0.05                     0.05
                    0.053     3.33354669471842e-06      3.3335466947134e-06     1.81925732028911e-07     5.05558676462274e-07     5.05558676461511e-07     2.75727616738168e-08         5.35048506100984        0.367459452348416        0.367459452348514        0.549390875545643                     0.05                     0.05                     0.05
                    0.054     3.84886171030196e-06     3.84886171029763e-06     2.23507571942158e-07     6.04509486245615e-07     6.04509486244933e-07     3.50796010552796e-08         5.34909130058292        0.367429989112082        0.367429989112157        0.549376779991387                     0.05                     0.05                     0.05
                    0.055     4.42373211072576e-06     4.42373211074978e-06     2.72720531112227e-07     7.18646953362278e-07     7.18646953366184e-07     4.42695331608461e-08         5.34653868022247        0.367397083149789        0.367397083149421         0.54936097272328                     0.05                     0.05                     0.05
                    0.056      5.0626583738749e-06     5.06265837383498e-06     3.30617191066518e-07     8.49652005604886e-07      8.4965200559818e-07     5.54389831972718e-08         5.34286648109985        0.367360472633518        0.367360472634064        0.549343312865128                     0.05                     0.05                     0.05
                    0.057     5.77028454463223e-06     5.77028454453346e-06     3.98345896943272e-07     9.99315490286316e-07     9.99315490269192e-07     6.89220850584998e-08         5.33803851501899         0.36731988806403        0.367319888065242         0.54932365406552                     0.05                     0.05                     0.05
                    0.058     6.55139404875257e-06      6.5513940486919e-06     4.77153404699607e-07      1.1695394005996e-06     1.16953940058876e-06     8.50933162300444e-08         5.33208874977496        0.367275052664594        0.367275052665264        0.549301844636339                     0.05                     0.05                     0.05
                    0.059     7.41090562257681e-06     7.41090562246575e-06     5.68387960957957e-07     1.36233788781362e-06     1.36233788779317e-06     1.04370234336709e-07         5.32503181182373        0.367225682820449        0.367225682821556        0.549277727717942                     0.05                     0.05                     0.05
