                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.04     1.02440548428123e-06     1.02440548428123e-06     1.86704563164647e-08     6.90513240133468e-09     6.90513240133466e-09     1.25801091150582e-10           5.259189385188        0.367595281424007        0.367595281424007        0.549455220900149                      0.1                      0.1                      0.1
                    0.041     1.25743414061245e-06     1.25743414061825e-06     2.55676834270179e-08     9.57586702994721e-09     9.57586702999137e-09     1.94618529275176e-10         5.27283235481919        0.367583392999445        0.367583392999224        0.549449781528673                      0.1                      0.1                      0.1
                    0.042     1.53016931180691e-06     1.53016931182452e-06     3.45283450937536e-08     1.30889987046396e-08     1.30889987047904e-08     2.95195685883668e-10         5.28521277436984        0.367569514549556        0.367569514548987        0.549443412774558                      0.1                      0.1                      0.1
                    0.043     1.84709411333049e-06     1.84709411332394e-06     4.60280125856401e-08     1.76517379364328e-08     1.76517379363702e-08     4.39594235214954e-10         5.29634930056894        0.367553427744118        0.367553427744298        0.549436007609344                      0.1                      0.1                      0.1
                    0.044       2.212919422165e-06     2.21291942216996e-06     6.06188499358666e-08     2.35078590561689e-08     2.35078590562216e-08     6.43497779152177e-10         5.30622765358658        0.367534903722203        0.367534903722086        0.549427452802888                      0.1                      0.1                      0.1
                    0.045     2.63257516956854e-06     2.63257516958917e-06     7.89361614090191e-08     3.09414503131232e-08     3.09414503133659e-08     9.27010809305976e-10         5.31485645405197        0.367513703775864        0.367513703775445         0.54941762911098                      0.1                      0.1                      0.1
                    0.046     3.11120132977201e-06     3.11120132979239e-06      1.0170480147644e-07     4.02806950870593e-08     4.02806950873234e-08     1.31556595257854e-09         5.32222846892342        0.367489579874414        0.367489579874054        0.549406411397106                      0.1                      0.1                      0.1
                    0.047     3.65413875755624e-06     3.65413875753643e-06     1.29745391971175e-07     5.19016550572912e-08     5.19016550570095e-08     1.84094239116989e-09         5.32834469725269        0.367462275171636        0.367462275171941        0.549393668760336                      0.1                      0.1                      0.1
                    0.048     4.26692000934268e-06     4.26692000935116e-06     1.63980297754448e-07     6.62320281951592e-08      6.6232028195291e-08     2.54239694380343e-09         5.33320146764251        0.367431524531337        0.367431524531223        0.549379264678737                      0.1                      0.1                      0.1
                    0.049     4.95526026611069e-06     4.95526026614638e-06     2.05439319282667e-07     8.37548568843156e-08     8.37548568849198e-08      3.4679078787742e-09         5.33679655592463        0.367397055047901        0.367397055047475         0.54936305716073                      0.1                      0.1                      0.1
                     0.05     5.72504845763547e-06     5.72504845750911e-06     2.55268174137898e-07      1.0501216414219e-07     1.05012164139869e-07     4.67558705921168e-09         5.33913034858988        0.367358586562686        0.367358586564024        0.549344898901129                      0.1                      0.1                      0.1
                    0.051      6.5823386698672e-06      6.5823386698672e-06     3.14720902665001e-07     1.30608498731357e-07     1.30608498731357e-07     6.23491698144404e-09          5.3402007717569        0.367315832182755        0.367315832182755        0.549324637453571                      0.1                      0.1                      0.1
                    0.052     7.53334190710144e-06     7.53334190710144e-06     3.85183510667003e-07     1.61214372947155e-07     1.61214372947155e-07     8.22865310878586e-09         5.34000806510024        0.367268498755343        0.367268498755343        0.549302115395067                      0.1                      0.1                      0.1
                    0.053     8.58441825444216e-06     8.58441825433082e-06     4.68164006356753e-07     1.97569579522117e-07     1.97569579519549e-07     1.07542771315436e-08         5.33855291293134        0.367216287376438        0.367216287377281        0.549277170513258                      0.1                      0.1                      0.1
                    0.054     9.74206948986375e-06     9.74206948944475e-06     5.65307278070857e-07     2.40486377190549e-07     2.40486377180179e-07     1.39257949953769e-08         5.33583892111003        0.367158893841815        0.367158893844674        0.549249635976983                      0.1                      0.1                      0.1
                    0.055     1.10129321699833e-05     1.10129321699329e-05     6.78385510142008e-07     2.90852536859177e-07     2.90852536857844e-07     1.78756881382868e-08         5.33186831682163        0.367096009095465        0.367096009095776        0.549219340529777                      0.1                      0.1                      0.1
                    0.056      1.2403771207474e-05     1.24037712075956e-05     8.09310659837444e-07     3.49634242848994e-07     3.49634242852431e-07     2.27566530677846e-08         5.32664684201631        0.367027319674516        0.367027319673835        0.549186108679407                      0.1                      0.1                      0.1
                    0.057     1.39214762864741e-05     1.39214762864741e-05     9.60134817931155e-07     4.17878916315872e-07     4.17878916315872e-07     2.87437493562862e-08          5.3201807693109        0.366952496232789        0.366952496232789         0.54914975596135                      0.1                      0.1                      0.1
                    0.058     1.55730478329889e-05     1.55730478329891e-05     1.13305232139386e-06     4.96717565304968e-07     4.96717565304975e-07     3.60364169290605e-08         5.31247812757593        0.366871239232297        0.366871239232296        0.549110107900233                      0.1                      0.1                      0.1
                    0.059      1.7365604186975e-05     1.73656041869748e-05     1.33040212734482e-06     5.87367590211469e-07     5.87367590211459e-07      4.4860605269655e-08         5.30354858587439        0.366783214319671        0.366783214319672         0.54906697328322                      0.1                      0.1                      0.1
                     0.06      1.9306369646949e-05     1.93063696469487e-05     1.55466926862841e-06     6.91134877194085e-07     6.91134877194077e-07     5.54709319290783e-08         5.29340330712721        0.366688094205238        0.366688094205239        0.549020161549505                      0.1                      0.1                      0.1
                    0.061     2.14026723361699e-05     2.14026723361696e-05      1.8084862608874e-06     8.09416015447068e-07     8.09416015447056e-07     6.81528859656388e-08          5.2820548219944         0.36658554901188        0.366585549011881        0.548969478851307                      0.1                      0.1                      0.1
                    0.062     2.36619407590012e-05     2.36619407590011e-05     2.09463415676249e-06     9.43700326440244e-07     9.43700326440238e-07     8.32250585903127e-08         5.26951721426108        0.366475246575471        0.366475246575472        0.548914728242282                      0.1                      0.1                      0.1
                    0.063     2.60917008104642e-05     2.60917008104641e-05     2.41604331985283e-06     1.09557176128018e-06     1.09557176128018e-06     1.01041394172074e-07         5.25580590156125        0.366356852723273        0.366356852723273        0.548855709863711                      0.1                      0.1                      0.1
                    0.064     2.86995732191129e-05     2.86995732191128e-05     2.77579394020401e-06     1.26671067275713e-06     1.26671067275713e-06     1.21993453635867e-07         5.24093779769639        0.366230031530452        0.366230031530452        0.548792221127862                      0.1                      0.1                      0.1
                    0.065     3.14932714019651e-05     3.14932714019651e-05     3.17711631345831e-06     1.45889546923626e-06     1.45889546923626e-06     1.46512682686237e-07         5.22493110735819         0.36609444555506        0.366094445555059        0.548724056898007                      0.1                      0.1                      0.1
                    0.066     3.44805997093339e-05     3.44805997093338e-05     3.62339090586287e-06     1.67400415798956e-06     1.67400415798956e-06     1.75072677747637e-07         5.20780508844865        0.365949756051824        0.365949756051824        0.548651009664597                      0.1                      0.1                      0.1
                    0.067     3.76694520369465e-05     3.76694520369466e-05     4.11814822712903e-06     1.91401578586336e-06     1.91401578586336e-06     2.08191443015286e-07         5.18958061452822        0.365795623165157        0.365795623165157        0.548572869717108                      0.1                      0.1                      0.1
                    0.068     4.10678107825639e-05     4.10678107825641e-05     4.66506853270466e-06     2.18101061068693e-06     2.18101061068694e-06     2.46433632545639e-07         5.17027918520336        0.365631706101916        0.365631706101916        0.548489425311179                      0.1                      0.1                      0.1
                    0.069     4.46837461245586e-05      4.4683746124559e-05      5.2679813764135e-06     2.47717584557851e-06     2.47717584557853e-06     2.90412771872644e-07         5.14992343907855        0.365457663284317        0.365457663284316        0.548400462830604                      0.1                      0.1                      0.1
                     0.07     4.85254156001796e-05     4.85254156001806e-05     5.93086503364301e-06     2.80480203668119e-06     2.80480203668124e-06     3.40793454203823e-07         5.12853700440272        0.365273152483729        0.365273152483727        0.548305766943911                      0.1                      0.1                      0.1
                    0.071     5.26010639620249e-05     5.26010639620237e-05     6.65784581439047e-06     3.16628203453807e-06       3.166282034538e-06     3.98293506821558e-07         5.10614444397989        0.365077830935654        0.365077830935656        0.548205120755143                      0.1                      0.1                      0.1
                    0.072     5.69190232917502e-05     5.69190232917536e-05     7.45319728449381e-06     3.56412005541553e-06     3.56412005541574e-06     4.63686123879986e-07         5.08277081198671        0.364871355436718        0.364871355436712        0.548098305948658                      0.1                      0.1                      0.1
                    0.073     6.14877133511555e-05     6.14877133511553e-05     8.32133941234548e-06     4.00092690647797e-06     4.00092690647796e-06     5.37801962342093e-07         5.05844200677656        0.364653382424018        0.364653382424018        0.547985102927666                      0.1                      0.1                      0.1
                    0.074     6.63156421514681e-05      6.6315642151469e-05     9.26683765730179e-06     4.47942232053203e-06      4.4794223205321e-06     6.21531198337467e-07         5.03318449435551        0.364423568037637        0.364423568037635        0.547865290946373                      0.1                      0.1                      0.1
                    0.075     7.14114067229448e-05     7.14114067229398e-05     1.02944020149078e-05     5.00243586177166e-06     5.00243586177131e-06     7.15825541736173e-07         5.00702518645182        0.364181568166654        0.364181568166661        0.547738648235523                      0.1                      0.1                      0.1
                    0.076     7.67836940676471e-05     7.67836940676468e-05     1.14088860329384e-05     5.57290779791033e-06     5.57290779791032e-06     8.21700207222259e-07          4.9799914775264         0.36392703847945         0.36392703847945        0.547604952121283                      0.1                      0.1                      0.1
                    0.077     8.24412822795942e-05     8.24412822795946e-05     1.26152858111691e-05     6.19388994516151e-06     6.19388994516155e-06     9.40235840611967e-07         4.95211103807728         0.36365963443865        0.363659634438649        0.547463979137355                      0.1                      0.1                      0.1
                    0.078     8.83930418173659e-05     8.83930418173724e-05     1.39187389967036e-05     6.86854649218135e-06     6.86854649218186e-06     1.07258039959178e-06         4.92341191290757        0.363379011301347        0.363379011301339        0.547315505130258                      0.1                      0.1                      0.1
                    0.079     9.46479369152651e-05     9.46479369152625e-05     1.53245237856306e-05       7.600154808748e-06     7.60015480874778e-06      1.2199509884503e-06         4.89392222885199        0.363084824105194        0.363084824105197        0.547159305357821                      0.1                      0.1                      0.1
                     0.08     0.000101215027120368     0.000101215027120369     1.68380579407824e-05     8.39210624462953e-06     8.39210624462958e-06      1.3836356467462e-06         4.86367024558636        0.362776727640711         0.36277672764071        0.546995154580802                      0.1                      0.1                      0.1
                    0.081     0.000108103468943711     0.000108103468943715     1.84648978343842e-05     9.24790692375714e-06     9.24790692375749e-06     1.56499509218884e-06         4.83268440815958        0.362454376410257        0.362454376410252        0.546822827147717                      0.1                      0.1                      0.1
                    0.082      0.00011532251761449      0.00011532251761449     2.02107375234552e-05     1.01711785384677e-05     1.01711785384678e-05      1.7654644183107e-06         4.80099301401079        0.362117424574446        0.362117424574446        0.546642097072976                      0.1                      0.1                      0.1
                    0.083     0.000122881528927759      0.00012288152892775     2.20814078649697e-05      1.1165659148325e-05     1.11656591483241e-05     1.98655474778524e-06         4.76862438048449        0.361765525885991           0.361765525886        0.546452738108296                      0.1                      0.1                      0.1
                    0.084     0.000130789961176414     0.000130789961176405     2.40828756769449e-05     1.22352039876808e-05       1.223520398768e-05     2.22985484248433e-06         4.73560666833746        0.361398333611594        0.361398333611602         0.54625452380755                      0.1                      0.1                      0.1
                    0.085     0.000139057377159194     0.000139057377159194     2.62212429508541e-05     1.33837862858624e-05     1.33837862858624e-05     2.49703267158248e-06         4.70196789086848        0.361015500442317        0.361015500442317        0.546047227585185                      0.1                      0.1                      0.1
                    0.086     0.000147693446257304     0.000147693446257304     2.85027461200452e-05     1.46154981036049e-05     1.46154981036049e-05     2.78983693920106e-06         4.66773584014684        0.360616678392726        0.360616678392726        0.545830622768327                      0.1                      0.1                      0.1
                    0.087     0.000156707946573133     0.000156707946573161      3.0933755388215e-05     1.59345511891094e-05     1.59345511891123e-05     3.11009857324891e-06          4.6329380123496        0.360201518688986        0.360201518688964        0.545604482642642                      0.1                      0.1                      0.1
                    0.088     0.000166110767125136     0.000166110767125158     3.35207741213417e-05     1.73452778568629e-05     1.73452778568652e-05     3.45973217724795e-06         4.59760163741475        0.359769671646165        0.359769671646148         0.54536858049213                      0.1                      0.1                      0.1
                    0.089     0.000175911910092744     0.000175911910092767     3.62704383058879e-05     1.88521318920413e-05     1.88521318920437e-05     3.84073744704311e-06         4.56175357203161        0.359320786535565        0.359320786535548        0.545122689633161                      0.1                      0.1                      0.1
                     0.09     0.000186121493107524     0.000186121493107518      3.9189516075634e-05     2.04596894832919e-05     2.04596894832913e-05     4.25520055439334e-06         4.52542029906566        0.358854511441488        0.358854511441491        0.544866583442801                      0.1                      0.1                      0.1
                    0.091     0.000196749751585832     0.000196749751585833     4.22849073090689e-05     2.21726501863493e-05     2.21726501863494e-05     4.70529549951852e-06         4.48862788026528        0.358370493108035        0.358370493108034        0.544600035381433                      0.1                      0.1                      0.1
