                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.04     1.25824965215549e-05     1.25824965215549e-05      2.2882012995839e-07     5.74061311197053e-10     5.74061311197051e-10     1.03889745463217e-11          3.7076412177377        0.367001623983711        0.367001623983712        0.549186647605235                      0.2                      0.2                      0.2
                    0.041     1.45455207896416e-05     1.45455207896422e-05     2.95020145134814e-07      8.4737227149467e-10     8.47372271494706e-10     1.70946856554614e-11         3.73177557417263        0.366903167613796        0.366903167613794        0.549141479836914                      0.2                      0.2                      0.2
                    0.042     1.67194278196719e-05     1.67194278196719e-05     3.76215522832687e-07     1.22938457315999e-09     1.22938457315999e-09      2.7500084404257e-11         3.75456247941423        0.366794570934781        0.366794570934781        0.549091503371323                      0.2                      0.2                      0.2
                    0.043     1.91165466847458e-05     1.91165466847459e-05     4.74870730371533e-07     1.75516008555632e-09     1.75516008555632e-09     4.33181074348512e-11         3.77598825065222        0.366675302289158        0.366675302289158        0.549036435806142                      0.2                      0.2                      0.2
                    0.044     2.17492770293638e-05      2.1749277029364e-05     5.93696582892079e-07     2.46849543197546e-09     2.46849543197548e-09     6.69089609915525e-11          3.7960319278385        0.366544833565183        0.366544833565182        0.548975992413402                      0.2                      0.2                      0.2
                    0.045     2.46300824507012e-05     2.46300824507014e-05     7.35656242848569e-07     3.42345082462868e-09     3.42345082462871e-09     1.01470737977505e-10         3.81467177920353        0.366402640652427        0.366402640652426        0.548909886382064                      0.2                      0.2                      0.2
                    0.046     2.77714859847219e-05     2.77714859847202e-05     9.03970111837001e-07     4.68602368837609e-09      4.6860236883758e-09     1.51270017201887e-10         3.83190789493653        0.366248203794234        0.366248203794237          0.5488378290454                      0.2                      0.2                      0.2
                    0.047     3.11860674402744e-05     3.11860674402738e-05     1.10211966890925e-06     6.33596474700644e-09     6.33596474700632e-09     2.21917091602998e-10           3.847717793895        0.366081007848689         0.36608100784869        0.548759530096211                      0.2                      0.2                      0.2
                    0.048     3.48864623420273e-05     3.48864623420286e-05     1.33385032057232e-06     8.46873288349792e-09     8.46873288349821e-09      3.2069038139035e-10          3.8620964005854         0.36590054246856        0.365900542468558        0.548674697792173                      0.2                      0.2                      0.2
                    0.049     3.88853622622381e-05     3.88853622622387e-05     1.60317333568401e-06       1.119758389443e-08     1.11975838944302e-08     4.56914413493369e-10         3.87503711009142        0.365706302209574        0.365706302209573        0.548583039152859                      0.2                      0.2                      0.2
