                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.04     0.000171561109757099     0.000171561109757099     3.02682677743863e-06     5.61939921167897e-11     5.61939921167897e-11     9.26575735793561e-13         10.4579566696349        0.358765158534475        0.358765158534475         0.54549670503893                      0.3                      0.3                      0.3
                    0.041     0.000187933250602523     0.000187933250602701     3.68946521843061e-06     8.90563835434846e-11     8.90563835435759e-11     1.62853773855164e-12          10.536378919514         0.35794266782145        0.357942667821401        0.545123620261744                      0.3                      0.3                      0.3
                    0.042     0.000205328732099155     0.000205328732099169     4.46141878756093e-06     1.38343697340337e-10     1.38343697340347e-10     2.79054062000011e-12         10.6101724853217        0.357071226135633        0.357071226135629        0.544727587457652                      0.3                      0.3                      0.3
                    0.043     0.000223787070816212     0.000223787070815622     5.35494344013136e-06     2.10950031857581e-10     2.10950031856973e-10      4.6700259255259e-12         10.6793467402101         0.35614906578653        0.356149065786677        0.544307716528921                      0.3                      0.3                      0.3
                    0.044     0.000243349706145363     0.000243349706146654     6.38302672343084e-06     3.16139086658092e-10     3.16139086659932e-10     7.64519228729904e-12         10.7439230321336        0.355174327672848        0.355174327672543        0.543863078843966                      0.3                      0.3                      0.3
                    0.045     0.000264060173729246     0.000264060173728959     7.55939682599789e-06     4.66186254311514e-10     4.66186254310955e-10     1.22611748201221e-11         10.8039343344615         0.35414505248786        0.354145052487924        0.543392704873332                      0.3                      0.3                      0.3
                    0.046     0.000285964293102392     0.000285964293102359     8.89853400631223e-06     6.77149813427164e-10     6.77149813427077e-10     1.92899880540019e-11         10.8594247014438        0.353059170984548        0.353059170984555        0.542895581534886                      0.3                      0.3                      0.3
                    0.047     0.000309110372053412     0.000309110372054827     1.04156849403303e-05     9.69788710194375e-10     9.69788710199309e-10     2.98071729332058e-11         10.9104490879967        0.351914493156327        0.351914493156039        0.542370649198893                      0.3                      0.3                      0.3
                    0.048     0.000333549430678424     0.000333549430678265     1.21268805402348e-05     1.37064595733958e-09     1.37064595733884e-09     4.52884564480435e-11         10.9570727338306        0.350708696142057        0.350708696142088        0.541816798285567                      0.3                      0.3                      0.3
                    0.049     0.000359335448535916     0.000359335448536694     1.40489578211425e-05     1.91331847380566e-09     1.91331847381031e-09     6.77301093163648e-11         10.9993702616775         0.34943931063928        0.349439310639135        0.541232865384722                      0.3                      0.3                      0.3
                     0.05     0.000386525638945964      0.00038652563894526     1.61995864339883e-05     2.63993632845822e-09      2.6399363284528e-09     9.97970724433407e-11          11.037425387447        0.348103705559976        0.348103705560101        0.540617628813766                      0.3                      0.3                      0.3
                    0.051      0.00041518075500999     0.000415180755009433     1.85973005403188e-05      3.6028769495165e-09     3.60287694951102e-09      1.4500476651238e-10         11.0712193737707         0.34669907064817        0.346699070648266        0.539969803526408                      0.3                      0.3                      0.3
                    0.052     0.000445365432967983     0.000445365432967004     2.12616886996463e-05     4.86674306295907e-09     4.86674306294689e-09     2.07930858496423e-10         11.1010219411838        0.345222396684837        0.345222396684997        0.539288035258282                      0.3                      0.3                      0.3
                    0.053       0.0004771485793641     0.000477148579365748     2.42126792604511e-05     6.51063710215738e-09     6.51063710218313e-09     2.94483394728416e-10         11.1270365760339        0.343670452871445        0.343670452871185        0.538570893788914                      0.3                      0.3                      0.3
                    0.054     0.000510603809825674     0.000510603809831134     2.74721123842351e-05     8.63076981480338e-09      8.6307698149096e-09     4.12203599943556e-10         11.1491364071427          0.3420397608853        0.342039760884473        0.537816865174441                      0.3                      0.3                      0.3
                    0.055     0.000545809948771449     0.000545809948773067     3.10622830161408e-05     1.13434470667125e-08     1.13434470667514e-08      5.7062927480003e-10         11.1675245636405        0.340326565003453        0.340326565003217        0.537024342775338                      0.3                      0.3                      0.3
                    0.056     0.000582851601441367      0.00058285160144503     3.50067730913064e-05     1.47884867809827e-08     1.47884867810909e-08     7.81721293720769e-10         11.1822884842832        0.338526797540553        0.338526797540038        0.536191616865432                      0.3                      0.3                      0.3
                    0.057     0.000621819812006892     0.000621819812003133     3.93303845591925e-05     1.91331280367806e-08     1.91331280366452e-08     1.06035091749683e-09         11.1935829965579        0.336636038693737        0.336636038694247        0.535316862569021                      0.3                      0.3                      0.3
                    0.058     0.000662812824389974     0.000662812824388903     4.40592386704736e-05     2.45765072210481e-08     2.45765072210014e-08     1.42487343453466e-09         11.2015364380099        0.334649469703781        0.334649469703921        0.534398125823916                      0.3                      0.3                      0.3
                    0.059     0.000705936966938908     0.000705936966941811     4.92208921701881e-05     3.13547926744954e-08     3.13547926746482e-08      1.8977829221482e-09         11.2062793387097         0.33256181788669        0.332561817886323        0.533433306971642                      0.3                      0.3                      0.3
                     0.06       0.0007513076860653     0.000751307686071434     5.48444735251473e-05     3.97470905810937e-08     3.97470905814807e-08     2.50646472628743e-09         11.2079438964145        0.330367291883818        0.330367291883069        0.532420141531712                      0.3                      0.3                      0.3
                    0.061     0.000799050761758402     0.000799050761754112     6.09608431294199e-05     5.00822626594274e-08     5.00822626591046e-08     3.28405639605885e-09         11.2066631859893        0.328059504842104        0.328059504842611        0.531356177532308                      0.3                      0.3                      0.3
                    0.062     0.000849303744604755     0.000849303744618174     6.76027823738315e-05     6.27468325066697e-08     6.27468325078681e-08     4.27043076277839e-09         11.2025709043551        0.325631382857322        0.325631382855786        0.530238748706808                      0.3                      0.3                      0.3
                    0.063      0.00090221766625502     0.000902217666253004      7.4805217817549e-05     7.81942055770957e-08     7.81942055768829e-08     5.51331724897393e-09         11.1958022302407        0.323075055051615        0.323075055051839        0.529064942596314                      0.3                      0.3                      0.3
                    0.064     0.000957959074644211     0.000957959074622333     8.26054883840125e-05     9.69554918086984e-08     9.69554918059816e-08     7.06958060882063e-09         11.1865642886109        0.320381720789277        0.320381720791631        0.527831562386795                      0.3                      0.3                      0.3
                    0.065      0.00101671257472047      0.00101671257471743     9.10436657931096e-05     1.19652306490398e-07     1.19652306489955e-07     9.00668040312678e-09         11.1747871331841        0.317541487971308        0.317541487971626        0.526535080952569                      0.3                      0.3                      0.3
                    0.066      0.00107868396781091       0.0010786839678109     0.000100162953874805     1.47012088519908e-07     1.47012088519907e-07     1.14043413912134e-08         11.1606920002964        0.314543147337581        0.314543147337582        0.525171575271233                      0.3                      0.3                      0.3
                    0.067      0.00114410308905613      0.00114410308905615     0.000110010114764235     1.79886343758595e-07     1.79886343758598e-07      1.4356463217225e-08         11.1443887375919        0.311374027625123        0.311374027625121        0.523736694876982                      0.3                      0.3                      0.3
                    0.068      0.00121322965357405      0.00121322965357406     0.000120636107560307     2.19273266220636e-07     2.19273266220638e-07     1.79733329514758e-08         11.1260162726016        0.308019548653763        0.308019548653762         0.52222552717218                      0.3                      0.3                      0.3
                    0.069      0.00128635810007895      0.00128635810007893     0.000132096765598781     2.66345240713616e-07     2.66345240713612e-07     2.23841786090412e-08         11.1056754532756        0.304462923001781        0.304462923001782        0.520632525630703                      0.3                      0.3                      0.3
                     0.07      0.00136382493493859      0.00136382493493859     0.000144453699078579      3.2248338810231e-07      3.2248338810231e-07     2.77401573515145e-08         11.0834170706655        0.300684643431629        0.300684643431629        0.518951372482356                      0.3                      0.3                      0.3
                    0.071      0.00144601781482072      0.00144601781482076     0.000157775424262327     3.89321317275094e-07     3.89321317275108e-07     3.42178782330059e-08         11.0593267921601        0.296661849710571        0.296661849710568        0.517174815031754                      0.3                      0.3                      0.3
                    0.072      0.00153338720801293       0.0015333872080129     0.000172138805789475     4.68801467925262e-07     4.68801467925248e-07     4.20236040694346e-08         11.0334504258882         0.29236750413225        0.292367504132253        0.515294457447116                      0.3                      0.3                      0.3
                    0.073      0.00162646151560678       0.0016264615156069     0.000187630919906002     5.63248918641283e-07     5.63248918641339e-07     5.13983313258033e-08          11.005776234491        0.287769305266947        0.287769305266937         0.51330049382628                      0.3                      0.3                      0.3
                    0.074      0.00172586686009444      0.00172586686009439     0.000204351488587014     6.75469862374475e-07      6.7546986237445e-07     6.26240273624706e-08          10.976251969855        0.282828239981017        0.282828239981021         0.51118136382839                      0.3                      0.3                      0.3
                    0.075      0.00183235317161372      0.00183235317161358     0.000222416092240758     8.08885563566275e-07     8.08885563566193e-07     7.60314220884007e-08         10.9447605693046        0.277496632103442        0.277496632103453        0.508923307099965                      0.3                      0.3                      0.3
