                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.04     0.000297274266454648     0.000297274266454648     5.12076949919923e-06       4.079904829669e-11     4.07990482966899e-11     6.23908425520247e-13         3.65867357649524         0.35216112019448         0.35216112019448        0.542587230323664        0.318435705524512        0.318435705524512        0.318435705524512
                    0.041     0.000323466417075054     0.000323466417077001     6.19058371466939e-06     6.58140244893223e-11     6.58140244897768e-11     1.11238398085139e-12          3.6895297549708        0.350832153354839        0.350832153354505        0.541992952491695        0.318435705524512        0.318435705524512        0.318435705524512
                    0.042     0.000351286405547893     0.000351286405549935     7.42915422117673e-06     1.04033742008964e-10     1.04033742009662e-10     1.93276094784713e-12         3.71842834501626        0.349422903578369        0.349422903578035        0.541362446604601        0.318435705524512        0.318435705524512        0.318435705524512
                    0.043     0.000380821981524877      0.00038082198152735     8.85494350850356e-06     1.61380792720542e-10      1.6138079272176e-10     3.27853007296923e-12          3.7452989662797        0.347928948679944        0.347928948679558        0.540693779469596        0.318435705524512        0.318435705524512        0.318435705524512
                    0.044     0.000412168988378621     0.000412168988388019     1.04876713802058e-05     2.45997929576392e-10     2.45997929582949e-10     5.43845978723457e-12          3.7700540714451        0.346345422349425        0.346345422348022        0.539984852090446        0.318435705524512        0.318435705524512        0.318435705524512
                    0.045     0.000445432513934031     0.000445432513934613     1.23483980111653e-05     3.68931080734714e-10     3.68931080735282e-10     8.83536402019837e-12         3.79267153027586        0.344666947733464        0.344666947733381        0.539233377557408        0.318435705524512        0.318435705524512        0.318435705524512
                    0.046     0.000480728269342013      0.00048072826934517     1.44596261534275e-05     5.44983290157381e-10     5.44983290161622e-10     1.40775045485804e-11         3.81305648393801        0.342887556696273        0.342887556695841        0.538436854072302        0.318435705524512        0.318435705524512        0.318435705524512
                    0.047     0.000518184252224843     0.000518184252222081     1.68454270114681e-05     7.93776220090436e-10     7.93776220085387e-10     2.20257899838514e-11         3.83115293687956        0.341000591601481        0.341000591601844        0.537592532106876        0.318435705524512        0.318435705524512        0.318435705524512
                    0.048     0.000557942771185337      0.00055794277118864      1.9531595610471e-05     1.14106440687029e-09     1.14106440687841e-09     3.38805243747743e-11         3.84687016347857        0.338998584855996        0.338998584855579        0.536697374118058        0.318435705524512        0.318435705524512        0.318435705524512
                    0.049     0.000600162935697406     0.000600162935704019     2.25458432731723e-05       1.620358964512e-09     1.62035896453364e-09     5.12921517258834e-11         3.86012946725138        0.336873109693311         0.33687310969251        0.535748004696552        0.318435705524512        0.318435705524512        0.318435705524512
                     0.05     0.000645023751353665     0.000645023751349187     2.59180373358163e-05     2.27493321684677e-09     2.27493321682748e-09     7.65012740583914e-11         3.87084119134596        0.334614593466307        0.334614593466829        0.534740648294684        0.318435705524512        0.318435705524512        0.318435705524512
                    0.051     0.000692728013458507     0.000692728013458383     2.96805018283833e-05     3.16030485477358e-09     3.16030485477288e-09     1.12515409418452e-10         3.87892451814033        0.332212081337302        0.332212081337316        0.533671050611736        0.318435705524512        0.318435705524512        0.318435705524512
                    0.052     0.000743507269325796      0.00074350726933797     3.38683980706679e-05     4.34732084991527e-09     4.34732085000376e-09      1.6332324106046e-10          3.8842230048141        0.329652933327452        0.329652933326135        0.532534378139986        0.318435705524512        0.318435705524512        0.318435705524512
                    0.053     0.000797628502992192      0.00079762850299219     3.85202184594358e-05     5.92602010839967e-09     5.92602010839965e-09     2.34172417524262e-10         3.88674260076595        0.326922402368129         0.32692240236813         0.53132507751643        0.318435705524512        0.318435705524512        0.318435705524512
                    0.054     0.000855401614956693     0.000855401614956684     4.36783959243526e-05     8.01050270749523e-09     8.01050270749512e-09     3.31900777359133e-10         3.88626214322247        0.324003214534535        0.324003214534536        0.530036742240101        0.318435705524512        0.318435705524512        0.318435705524512
                    0.055     0.000917192004755104      0.00091719200475513     4.93901682960594e-05     1.07451824953314e-08     1.07451824953318e-08     4.65351395786749e-10         3.88269117671443        0.320874730036171        0.320874730036169        0.528661831181725        0.318435705524512        0.318435705524512        0.318435705524512
                    0.056     0.000983435188611438     0.000983435188611442     5.57086806459638e-05     1.43129052593619e-08      1.4312905259362e-08     6.45890063305788e-10         3.87589334826101        0.317512067174258        0.317512067174258        0.527191387772086        0.318435705524512        0.318435705524512        0.318435705524512
                    0.057      0.00105465855272167      0.00105465855272173     6.26945309979112e-05     1.89457485751136e-08      1.8945748575115e-08     8.88039557242016e-10         3.86573370987916        0.313884729410684        0.313884729410679        0.525614594378954        0.318435705524512        0.318435705524512        0.318435705524512
                    0.058      0.00113151237870424      0.00113151237870433     7.04179479973953e-05     2.49397567413205e-08      2.4939756741323e-08      1.2102913732303e-09         3.85208064846758         0.30995464883441        0.309954648834403        0.523918142551167        0.318435705524512        0.318435705524512        0.318435705524512
                    0.059      0.00121481595768659      0.00121481595768664     7.89619679651742e-05     3.26757108112176e-08     3.26757108112191e-08     1.63613924848865e-09         3.83482961307261        0.305673262318404          0.3056732623184          0.5220852978069        0.318435705524512        0.318435705524512        0.318435705524512
                     0.06      0.00130562887116772       0.0013056288711676     8.84272536268886e-05     4.26496050531318e-08     4.26496050531266e-08     2.19543949959905e-09          3.8139600509378        0.300976966941375        0.300976966941384        0.520094455642623        0.318435705524512        0.318435705524512        0.318435705524512
                    0.061      0.00140536643513747      0.00140536643513734     9.89397598981564e-05     5.55196557120408e-08     5.55196557120335e-08     2.92626698022048e-09         3.78965321327566        0.295779708635161        0.295779708635171        0.517916803178808        0.318435705524512        0.318435705524512        0.318435705524512
                    0.062      0.00151599942329114       0.0015159994232916     0.000110663681131692     7.21835211082846e-08     7.21835211083154e-08     3.87758579810758e-09         3.76260532524405        0.289960146417064        0.289960146417028        0.515512299654761        0.318435705524512        0.318435705524512        0.318435705524512
                    0.063      0.00164042285727915      0.00164042285727915     0.000123825078492673     9.39158839705306e-08     9.39158839705309e-08     5.11339722887775e-09         3.73488949074992        0.283337625852517        0.283337625852516        0.512822213238526        0.318435705524512        0.318435705524512        0.318435705524512
