                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                    0.084     0.000235144072118386     0.000235144072118386     4.87939276318934e-05     4.83880586106987e-06     4.83880586106987e-06     9.85669290728811e-07         13.5699635565502        0.380342283801641        0.380342283801641        0.551908386838797        0.164011693066599        0.164011693066599        0.164011693066599
                    0.085     0.000250542469182144     0.000250542469182462     5.31374757670017e-05     5.40309239971982e-06     5.40309239972687e-06     1.12410113853155e-06         13.4761364730605        0.378921345587856        0.378921345587705        0.550804818587455        0.164011693066599        0.164011693066599        0.164011693066599
                    0.086     0.000266762328473432     0.000266762328473319      5.7795908760125e-05     6.02271687838537e-06     6.02271687838274e-06      1.2790306969985e-06          13.381031344236        0.377426328887144        0.377426328887195        0.549643336036532        0.164011693066599        0.164011693066599        0.164011693066599
                    0.087     0.000283846063724158     0.000283846063724067     6.27887714092472e-05     6.70231111052368e-06     6.70231111052147e-06     1.45211782320843e-06         13.2847382658035            0.37585317728        0.375853177280039        0.548420836300764        0.164011693066599        0.164011693066599        0.164011693066599
                    0.088     0.000301839385682693     0.000301839385682401     6.81369858404423e-05     7.44688108677536e-06     7.44688108676791e-06     1.64517041224197e-06          13.187349003339        0.374197463814963        0.374197463815084        0.547133944573209        0.164011693066599        0.164011693066599        0.164011693066599
                    0.089     0.000320791733450778     0.000320791733451816     7.38630141841269e-05     8.26184692778529e-06     8.26184692781298e-06     1.86015890012955e-06         13.0889549437608        0.372454338214337        0.372454338213926        0.545778976064329        0.164011693066599        0.164011693066599        0.164011693066599
                     0.09     0.000340756784602842     0.000340756784602191     7.99910502941029e-05     9.15308955509875e-06      9.1530895550806e-06     2.09923291685013e-06         12.9896496119931         0.37061846385456        0.370618463854807        0.544351890653092        0.164011693066599        0.164011693066599        0.164011693066599
                    0.091     0.000361793061698117     0.000361793061698206     8.65472470326277e-05     1.01270055896733e-05     1.01270055896759e-05     2.36474055678068e-06         12.8895296499293        0.368683942469291        0.368683942469258        0.542848238802112        0.164011693066599        0.164011693066599        0.164011693066599
                    0.092     0.000383964658831637     0.000383964658831008     9.35599876516325e-05     1.11905724363463e-05     1.11905724363272e-05     2.65925086638031e-06         12.7886380668793        0.366644223472518        0.366644223472737        0.541263096573005        0.164011693066599        0.164011693066599        0.164011693066599
                    0.093     0.000407342119097246     0.000407342119099551     0.000101060212407798     1.23514260978382e-05      1.2351426097911e-05     2.98558032468528e-06         12.6871804101837         0.36449199383929         0.36449199383852        0.539590986863946        0.164011693066599        0.164011693066599        0.164011693066599
                    0.094     0.000432003503334293     0.000432003503334337     0.000109081814959426     1.36179550477555e-05      1.3617955047757e-05     3.34682432658216e-06         12.5852129398133        0.362219043292718        0.362219043292703        0.537825783209297        0.164011693066599        0.164011693066599        0.164011693066599
                    0.095     0.000458035704343599     0.000458035704342827     0.000117662128000139     1.49994145963363e-05     1.49994145963098e-05     3.74639245518992e-06         12.4828475864041        0.359816097650992         0.35981609765123        0.535960591129363        0.164011693066599        0.164011693066599        0.164011693066599
                    0.096     0.000485536079971888     0.000485536079971825     0.000126842524396412     1.65060677277352e-05      1.6506067727733e-05     4.18806403382302e-06         12.3802063402135        0.357272610621233        0.357272610621252        0.533987600253261        0.164011693066599        0.164011693066599        0.164011693066599
                    0.097     0.000514614505819054     0.000514614505817781     0.000136669169819196     1.81493605881253e-05     1.81493605880782e-05     4.67603118334541e-06         12.2774214748501        0.354576500689388         0.35457650068975        0.531897897913396        0.164011693066599        0.164011693066599        0.164011693066599
                    0.098     0.000545395988035869     0.000545395988034291     0.000147193976970558     1.99421439950297e-05     1.99421439949689e-05     5.21497767108896e-06          12.174641516421         0.35171381447087        0.351713814471301        0.529681231251003        0.164011693066599        0.164011693066599        0.164011693066599
                    0.099      0.00057802403666463     0.000578024036662221     0.000158475832623047     2.18989571046084e-05     2.18989571045121e-05     5.81016613511064e-06         12.0720357625687        0.348668289737831        0.348668289738464        0.527325699266578        0.164011693066599        0.164011693066599        0.164011693066599
                      0.1     0.000612665091232574     0.000612665091226405     0.000170582200842452     2.40363966141138e-05     2.40363966138577e-05     6.46755280981985e-06         11.9698036488515        0.345420778972781        0.345420778974339        0.524817347707424        0.164011693066599        0.164011693066599        0.164011693066599
                    0.101     0.000649514561242059     0.000649514561242056     0.000183591122145608     2.63736116932842e-05     2.63736116932841e-05     7.19393913268515e-06          11.868185895533        0.341948443770919         0.34194844377092        0.522139603902801        0.164011693066599        0.164011693066599        0.164011693066599
                    0.102     0.000688804421872544     0.000688804421872546     0.000197594821830393     2.89329465384645e-05     2.89329465384646e-05     7.99716867010669e-06         11.7674757445013        0.338223807757348        0.338223807757348        0.519272617828463        0.164011693066599        0.164011693066599        0.164011693066599
                    0.103     0.000730815079478788     0.000730815079478786     0.000212702234656407     3.17408839659572e-05      3.1740883965957e-05     8.88640879791457e-06         11.6680534139861        0.334213113008627        0.334213113008628        0.516192113520082        0.164011693066599        0.164011693066599        0.164011693066599
                    0.104      0.00077589110812564     0.000775891108125619      0.00022904630813878     3.48293359337157e-05     3.48293359337147e-05     9.87253608671589e-06         11.5704105843288        0.329874270562231        0.329874270562235        0.512867969479481        0.164011693066599        0.164011693066599        0.164011693066599
                    0.105     0.000824465205147431     0.000824465205147439     0.000246791675141552     3.82375691990591e-05     3.82375691990595e-05      1.0968703447211e-05         11.4752221564143        0.325153643754968        0.325153643754966        0.509261993528409        0.164011693066599        0.164011693066599        0.164011693066599
                    0.106     0.000877094914155309     0.000877094914155292     0.000266147809908345     4.20151443601955e-05     4.20151443601946e-05     1.21912029581013e-05         11.3834499919732        0.319981105762055        0.319981105762058        0.505324517843599        0.164011693066599        0.164011693066599        0.164011693066599
                    0.107      0.00093452183410964       0.0009345218341096     0.000287389896213422     4.62266269646376e-05     4.62266269646354e-05     1.35608047522525e-05         11.2965121489462        0.314262025440961        0.314262025440968         0.50098890019788        0.164011693066599        0.164011693066599        0.164011693066599
                    0.108      0.00099777281757261     0.000997772817572455     0.000310894366370344     5.09595958663522e-05     5.09595958663435e-05      1.5105081866133e-05         11.2165946536405        0.307863490265117        0.307863490265146        0.496162112455155        0.164011693066599        0.164011693066599        0.164011693066599
                    0.109      0.00106834640984048      0.00106834640984071     0.000337204149966079     5.63393235586691e-05     5.63393235586821e-05     1.68625464731415e-05         11.1474697350587        0.300588773231687        0.300588773231647        0.490707381673811        0.164011693066599        0.164011693066599        0.164011693066599
                     0.11      0.00114859265516234      0.00114859265516225     0.000367161164343099     6.25585489360005e-05     6.25585489359953e-05      1.8891008256732e-05         11.0959370148825        0.292124995788537        0.292124995788552        0.484408797880503        0.164011693066599        0.164011693066599        0.164011693066599
                    0.111      0.00124260581403678      0.00124260581403954     0.000402216797877263     6.99471912665023e-05     6.99471912666753e-05       2.128693761471e-05         11.0764343965116        0.281919306892813        0.281919306892361        0.476888092448058        0.164011693066599        0.164011693066599        0.164011693066599
                    0.112      0.00135885058240564      0.00135885058239459     0.000445342924777377     7.91768506598533e-05     7.91768506591252e-05     2.42416731421098e-05         11.1262271667008        0.268812015510075        0.268812015511811        0.467359870853367        0.164011693066599        0.164011693066599        0.164011693066599
                    0.113      0.00152204897131818      0.00152204897131818      0.00050514750823799     9.21853167056883e-05     9.21853167056882e-05     2.82925241482301e-05         11.3982778120772        0.249361753580721        0.249361753580721        0.453525341266369        0.164011693066599        0.164011693066599        0.164011693066599
                    0.114      0.00221862768687091       0.0022186276868714     0.000755484541093198     0.000149120209101225     0.000149120209101269     4.40099963883064e-05          8.3877288359145        0.152438235566741        0.152438235566664        0.391988289392302        0.164011693066599        0.164011693066599        0.164011693066599
                    0.115      0.00243738851279985      0.00243738851279985     0.000850410309734094     0.000172268598268472     0.000172268598268473     5.10417376752313e-05         6.41803370070387        0.123812687771193        0.123812687771191        0.376812308296882        0.164011693066599        0.164011693066599        0.164011693066599
                    0.116      0.00255296564967431      0.00255296564967582     0.000908536670252816     0.000186776971189053      0.00018677697118921     5.60233570297199e-05         6.01086209771249        0.111162697368526        0.111162697368245        0.370557653991816        0.164011693066599        0.164011693066599        0.164011693066599
                    0.117      0.00264435713374051      0.00264435713374231     0.000958455768244655     0.000199377815166815     0.000199377815167011     6.06571783175847e-05         5.97286298529334        0.102474799405936        0.102474799405581        0.366394124122381        0.164011693066599        0.164011693066599        0.164011693066599
                    0.118      0.00272432461402777      0.00272432461402785      0.00100478377411353     0.000211169134457941     0.000211169134457951     6.52163149433833e-05         6.10448934766734       0.0957642255405175       0.0957642255404998        0.363232394211791        0.164011693066599        0.164011693066599        0.164011693066599
                    0.119      0.00279767940355119      0.00279767940355124      0.00104925605065297     0.000222567324482041     0.000222567324482046      6.9804609089844e-05         6.31657718316061       0.0902707943110916       0.0902707943110822        0.360664634337508        0.164011693066599        0.164011693066599        0.164011693066599
                     0.12      0.00286680094346909      0.00286680094346909      0.00109272950186248     0.000233779877181452     0.000233779877181451     7.44747648405611e-05         6.86116106537666       0.0856131918358744       0.0856131918358753        0.358490313971206        0.164011693066599        0.164011693066599        0.164011693066599
                    0.121      0.00293305259959731       0.0029330525995973      0.00113569399503679     0.000244926986584427     0.000244926986584426     7.92584288969693e-05          7.2158528887287       0.0815700050908216       0.0815700050908236        0.356595155305947        0.164011693066599        0.164011693066599        0.164011693066599
                    0.122      0.00299729291001031      0.00299729291000473      0.00117845803708956     0.000256085422651394     0.000256085422650684     8.41769293831601e-05         7.38397358628246       0.0780000097649367       0.0780000097662716        0.354907579978975        0.164011693066599        0.164011693066599        0.164011693066599
                    0.123      0.00306009890636361      0.00306009890636772      0.00122122899501872     0.000267307769128874      0.00026730776912941     8.92459004862221e-05         7.47232686523368       0.0748071503761917       0.0748071503751774        0.353379774452137        0.164011693066599        0.164011693066599        0.164011693066599
                    0.124      0.00312187872729253      0.00312187872729403      0.00126415406420131     0.000278632132251746     0.000278632132251947      9.4477641354072e-05         7.51325524904095       0.0719226479152359       0.0719226479148522        0.351978105374443        0.164011693066599        0.164011693066599        0.164011693066599
                    0.125      0.00318293170127671      0.00318293170127151       0.0013073415366013     0.000290087200178335     0.000290087200177622     9.98823118570366e-05         7.52261413803466       0.0692954986876597       0.0692954986890254        0.350678080945804        0.164011693066599        0.164011693066599        0.164011693066599
