                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.12     0.000293937014097881     0.000293937014097881      0.00010637649359107     0.000293937014097881     0.000293937014097881      0.00010637649359107         10.0345840588201        0.355428719093609        0.355428719093609        0.531872141763753                        0                        0                        0
                    0.121     0.000310068935376008     0.000310068935376008     0.000113361457351197     0.000310068935376008     0.000310068935376008     0.000113361457351197         9.91008014854247        0.352952835554922        0.352952835554922        0.529923130698746                        0                        0                        0
                    0.122     0.000327020966723181     0.000327020966723182     0.000120758542849917     0.000327020966723181     0.000327020966723182     0.000120758542849917         9.78678594339473        0.350349371652826        0.350349371652826        0.527875848197655                        0                        0                        0
                    0.123     0.000344844066249657     0.000344844066249658     0.000128594229244258     0.000344844066249657     0.000344844066249658     0.000128594229244258         9.66467461194985        0.347608960703923        0.347608960703922        0.525723444707109                        0                        0                        0
                    0.124     0.000363594660885932     0.000363594660885936     0.000136897645442765     0.000363594660885932     0.000363594660885936     0.000136897645442765         9.54371345299025        0.344721029234037        0.344721029234035        0.523458224381077                        0                        0                        0
                    0.125     0.000383335609692641     0.000383335609692639     0.000145701019208492     0.000383335609692641     0.000383335609692639     0.000145701019208492         9.42386248520018        0.341673566908554        0.341673566908555        0.521071487956145                        0                        0                        0
                    0.126     0.000404137403126155     0.000404137403126158     0.000155040234789782     0.000404137403126155     0.000404137403126158     0.000155040234789782         9.30508344588726        0.338452837882044        0.338452837882043        0.518553336504097                        0                        0                        0
                    0.127     0.000426079672953187     0.000426079672953182     0.000164955533206987     0.000426079672953187     0.000426079672953182     0.000164955533206987         9.18730999563587        0.335043014579672        0.335043014579674        0.515892423630006                        0                        0                        0
                    0.128     0.000449253117162324     0.000449253117162311     0.000175492402804983     0.000449253117162324     0.000449253117162311     0.000175492402804983         9.07047466515439        0.331425707198999        0.331425707199006        0.513075638718915                        0                        0                        0
                    0.129     0.000473761988075793     0.000473761988075794     0.000186702727628812     0.000473761988075793     0.000473761988075794     0.000186702727628812         8.95438027274798        0.327579350781223        0.327579350781223        0.510087696524907                        0                        0                        0
