                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[Gev^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.12     0.000311001284699894     0.000311001284699894     0.000103316909885753     0.000311001284699894     0.000311001284699894     0.000103316909885753          3.5107124853301        0.344727991767736        0.344727991767736        0.536629920733286                        0                        0                        0
                    0.138     0.000649724121382067     0.000649724121382067     0.000254891900425115     0.000649724121382067     0.000649724121382067     0.000254891900425115         2.85835606518364        0.323544306954501        0.323544306954501         0.52434160863285                        0                        0                        0
                    0.156       0.0012152611491989       0.0012152611491989     0.000538339232427988       0.0012152611491989       0.0012152611491989     0.000538339232427988         2.24675499091119        0.290847580514463        0.290847580514463        0.505781792482416                        0                        0                        0
                    0.174      0.00209947231352414      0.00209947231352393       0.0010191695382852      0.00209947231352414      0.00209947231352393       0.0010191695382852          1.6669934224775        0.241641515216089         0.24164151521613        0.479674635107108                        0                        0                        0
                    0.192      0.00338233275186802      0.00338233275186865      0.00176909591884163      0.00338233275186802      0.00338233275186865      0.00176909591884163         1.11102444415239        0.169025466131267        0.169025466131144         0.44645733888256                        0                        0                        0
                     0.21      0.00490310015962248      0.00490310015962265      0.00278835137134209      0.00490310015962248      0.00490310015962265      0.00278835137134209        0.720297365247936       0.0904330735757224       0.0904330735756761         0.41665484066702                        0                        0                        0
                    0.228      0.00643198831711978      0.00643198831712009      0.00402551967545453      0.00643198831711978      0.00643198831712009      0.00402551967545453        0.527467027873926       0.0520185528773316       0.0520185528772042         0.39767282463041                        0                        0                        0
                    0.246      0.00812558812414571      0.00812558812414572      0.00553176223869458      0.00812558812414571      0.00812558812414572      0.00553176223869458         0.39577711437824       0.0361039558104031       0.0361039558103946        0.381540063189935                        0                        0                        0
                    0.264       0.0100627706222666       0.0100627706222666      0.00733986022761365       0.0100627706222666       0.0100627706222666      0.00733986022761365        0.299030830318954       0.0279392506315379       0.0279392506315386        0.366022507159562                        0                        0                        0
                    0.282       0.0122751891859343       0.0122751891859343      0.00946676270477136       0.0122751891859343       0.0122751891859343      0.00946676270477136        0.227397483213626       0.0230572493164197       0.0230572493164195         0.35103087021273                        0                        0                        0
                      0.3       0.0147855329617239       0.0147855329617239       0.0119250269326928       0.0147855329617239       0.0147855329617239       0.0119250269326928        0.174100215072751       0.0198399256228228       0.0198399256228214        0.336761165316957                        0                        0                        0
