        quarkChemPot[GeV]       baryonChemPot[GeV]                   T[GeV]        pressure[GeVfm-3]        rhoB_broken[fm-3]        massU_broken[GeV]        massD_broken[GeV]        massS_broken[GeV]    energyDens_broken[GeVfm-3]      entropyDens_broken[fm-3]       sigmaU_broken[GeV]       sigmaD_broken[GeV]       sigmaS_broken[GeV]        rhoU_broken[fm-3]        rhoD_broken[fm-3]        rhoS_broken[fm-3]      rhoB_restored[fm-3]      massU_restored[GeV]      massD_restored[GeV]      massS_restored[GeV]  energyDens_restored[GeVfm-3]    entropyDens_restored[fm-3]     sigmaU_restored[GeV]     sigmaD_restored[GeV]     sigmaS_restored[GeV]      rhoU_restored[fm-3]      rhoD_restored[fm-3]      rhoS_restored[fm-3]
        0.325673201850931        0.977019605552792                        0      4.3227801134731e-09                        0        0.402731181384421        0.402731181384421        0.569096385286011          -4.3227801134731e-09                             0      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019                        0                        0                        0        0.298518643681657       0.0346683201192514        0.034668320119306        0.366027112445875             0.291658563181902                             0     -0.00125906356872358     -0.00125906356872558      -0.0132642946263863      0.00344050449197083      0.00344050449197064                        0
        0.325657876657254        0.976973629971762                    0.001     4.32278101656269e-09     9.04195172484246e-38        0.402731181384422        0.402731181384422        0.569096385286011         -4.32278101656269e-09          2.13149407234219e-35      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     1.04210829654843e-39     1.04210829654836e-39    9.79690327876285e-112        0.298502855457934       0.0346731212184994       0.0346731212184747          0.3660276880586             0.291656862728356             0.027449666381559     -0.00125927350967587     -0.00125927350967497      -0.0132643060538864      0.00344032252861333      0.00344032252861341     7.87023446384468e-24
        0.325654657073128        0.976963971219385                   0.0011      4.3227792103835e-09     1.14878111143987e-34        0.402731181384421        0.402731181384421        0.569096385286011          -4.3227792103835e-09          2.46670902734204e-32      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     1.32399991017471e-36     1.32399991017477e-36    4.60598323071238e-102         0.29849953598139       0.0346741312038192       0.0346741312038323         0.36602780922279             0.291656501447751            0.0301942994390102     -0.00125931766658577     -0.00125931766658625       -0.013264308459327      0.00344028427078862      0.00344028427078858     3.55494695011631e-22
        0.325651132035235        0.976953396105706                   0.0012     4.32278056501789e-09     4.48485278714818e-32        0.402731181384422        0.402731181384422        0.569096385286011         -4.32278056501789e-09          8.84488463943401e-30      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     5.16890870523504e-34     5.16890870523504e-34     5.35022664557704e-94        0.298495904114341       0.0346752359587199        0.034675235958705        0.366027941702434              0.29165610948272             0.032939410079652     -0.00125936597351218     -0.00125936597351164      -0.0132643110894091      0.00344024241258252      0.00344024241258257     8.60469089435621e-21
        0.325647300468893         0.97694190140668                   0.0013     4.32278191965228e-09     7.05788267440175e-30        0.402731181384422        0.402731181384422        0.569096385286011         -4.32278191965228e-09          1.28738587092217e-27      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     8.13439212559765e-32     8.13439212559765e-32     3.60367326033851e-87        0.298491956482933       0.0346764368445152       0.0346764368445705        0.366028085715616             0.291655683396405            0.0356832715562621     -0.00125941848386466     -0.00125941848386668      -0.0132643139484621      0.00344019691511078       0.0034401969151106     1.28776910976395e-19
        0.325643162377587         0.97692948713276                   0.0014     4.32277830729391e-09     5.43588951474235e-28        0.402731181384421        0.402731181384421         0.56909638528601         -4.32277830729391e-09          9.22514470904561e-26      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     6.26500310421879e-30     6.26500310421879e-30     2.58907670470152e-81         0.29848769311247        0.034677733875269       0.0346777338752795         0.36602824126535             0.291655223192059            0.0384275931147959     -0.00125947519825238     -0.00125947519825277      -0.0132643170365455      0.00344014777866466      0.00344014777866462     1.32003305398158e-18
        0.325638717760908        0.976916153282725                   0.0015      4.3227801134731e-09     2.36245458752692e-26        0.402731181384421        0.402731181384421        0.569096385286011          -4.3227801134731e-09          3.74935245329243e-24      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     2.72278994712673e-28     2.72278994712673e-28     3.10260269528151e-76        0.298483114017946       0.0346791270684517       0.0346791270684466        0.366028408355296             0.291654728860998            0.0411717934677542     -0.00125953611743069      -0.0012595361174305      -0.0132643203537315      0.00344009500341721      0.00344009500341723     9.99096824326297e-18
        0.325633966620297         0.97690189986089                   0.0016     4.32278101656269e-09     6.44693066041296e-25        0.402731181384422        0.402731181384422        0.569096385286011         -4.32278101656269e-09          9.61105434866861e-23      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     7.43025414527486e-27     7.43025414527486e-27     8.67235017037052e-72        0.298478219220971       0.0346806164419376       0.0346806164419243        0.366028586989209             0.291654200399341            0.0439158639628604     -0.00125960124217202     -0.00125960124217154      -0.0132643239000943      0.00344003858961744      0.00344003858961748     5.90758830760958e-17
        0.325628908951767        0.976886726855302                   0.0017      4.3227801134731e-09     1.19879380921819e-23        0.402731181384421        0.402731181384421         0.56909638528601          -4.3227801134731e-09          1.68534199337112e-21      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     1.38164083646321e-25     1.38164083646321e-25     7.30758430681629e-68        0.298473008728619       0.0346822020170989       0.0346822020170341        0.366028777171541             0.291653637787131            0.0466597959476401     -0.00125967057340358     -0.00125967057340121      -0.0132643276757217      0.00343997853734673      0.00343997853734695     2.84940331560925e-16
         0.32562354476164         0.97687063428492                   0.0018      4.3227792103835e-09     1.61871718386168e-22        0.402731181384421        0.402731181384421         0.56909638528601          -4.3227792103835e-09          2.15350502539184e-20      -0.0139500737621967      -0.0139500737621967      -0.0161994910197019     1.86561337463578e-24     1.86561337463578e-24     2.26621402552225e-64         0.29846748257916       0.0346838838120034       0.0346838838120165        0.366028978906184             0.291653041033438            0.0494035807745293     -0.00125974411190555     -0.00125974411190603      -0.0132643316806901      0.00343991484704621      0.00343991484704617     1.15944068662443e-15
