         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]     quarkDensityU[GeV^3]     quarkDensityD[GeV^3]     quarkDensityS[GeV^3]
                    0.075         0.36596203504013         0.36596203504013        0.548630932030242                        0                        0                        0     7.14533340667733e-06      5.1680149710312e-05     0.000784339774893218                        0                        0                        0
                    0.075        0.365962025555052        0.365962025555052        0.548630927266821     0.000250125062531266     0.000250125062531266     0.000250125062531266     7.14537329996739e-06     5.16804390153017e-05     0.000784343100382732     1.39961091904111e-07     1.39961091904112e-07     3.90645155640138e-08
                    0.075        0.365961997099702        0.365961997099703        0.548630912976499     0.000500250125062531     0.000500250125062531     0.000500250125062531     7.14549298020534e-06     5.16813069336222e-05     0.000784353076876391     2.79923790007448e-07     2.79923790007456e-07     7.81294703559775e-08
                    0.075        0.365961949673739        0.365961949673741        0.548630889159106     0.000750375187593797     0.000750375187593797     0.000750375187593797     7.14569244875812e-06     5.16827534754252e-05     0.000784369704454815     4.19889700529475e-07     4.19889700529464e-07     1.17195303608996e-07
                    0.075        0.365961883276593        0.365961883276594        0.548630855814359      0.00100050025012506      0.00100050025012506      0.00100050025012506     7.14597170801273e-06     5.16847786575375e-05     0.000784392983252311     5.59860429729915e-07     5.59860429729906e-07     1.56262454566337e-07
                    0.075        0.365961797907454        0.365961797907456        0.548630812941856      0.00125062531265633      0.00125062531265633      0.00125062531265633     7.14633076089738e-06     5.16873825036901e-05     0.000784422913454029     6.99837583929062e-07     6.99837583929053e-07     1.95331362486586e-07
                    0.075        0.365961693565307        0.365961693565308        0.548630760541094      0.00150075037518759      0.00150075037518759      0.00150075037518759      7.1467696119154e-06     5.16905650440533e-05     0.000784459495302677     8.39822769527853e-07     8.39822769527843e-07     2.34402466648788e-07
                    0.075        0.365961570248875        0.365961570248881         0.54863069861144      0.00175087543771886      0.00175087543771886      0.00175087543771886     7.14728826584771e-06     5.16943263159444e-05     0.000784502729091998     9.79817593028195e-07     9.79817593028145e-07     2.73476206357487e-07
                    0.075        0.365961427956688        0.365961427956688         0.54863062715216      0.00200100050025012      0.00200100050025012      0.00200100050025012      7.1478867286548e-06     5.16986663631272e-05     0.000784552615168127     1.11982366105283e-06     1.11982366105283e-06     3.12553020947846e-07
                    0.075        0.365961266687008        0.365961266687006        0.548630546162392      0.00225112556278139      0.00225112556278139      0.00225112556278139     7.14856500708821e-06     5.17035852364497e-05     0.000784609153933876     1.25984258036606e-06     1.25984258036608e-06     3.51633349790837e-07
