         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]     quarkDensityU[GeV^3]     quarkDensityD[GeV^3]     quarkDensityS[GeV^3]
                     0.12        0.367183245234289        0.367183245234289        0.542178569923942                        0                        0                        0     0.000205474102444494       0.0011680310501801       0.0114458762718607                        0                        0                        0
                     0.12        0.367183149997762        0.367183149997763        0.542178498722144     0.000250125062531266     0.000250125062531266     0.000250125062531266      0.00020547456921409      0.00116803378740959       0.0114458951923635     1.43459476994825e-06     1.43459476994824e-06     8.63098381840848e-07
                     0.12        0.367182864287253        0.367182864287251        0.542178285116078     0.000500250125062531     0.000500250125062531     0.000500250125062531     0.000205475969526421      0.00116804199911568       0.0114459519539573      2.8691982103123e-06      2.8691982103123e-06     1.72620124480871e-06
                     0.12        0.367182388099593        0.367182388099582        0.542177929103458     0.000750375187593797     0.000750375187593797     0.000750375187593797     0.000205478303390322      0.00116805568535557       0.0114460465569195     4.30381898836042e-06     4.30381898836055e-06     2.58931306681103e-06
                     0.12        0.367181721429137        0.367181721429148        0.542177430680279      0.00100050025012506      0.00100050025012506      0.00100050025012506     0.000205481570818421      0.00116807484622805       0.0114461790017237     5.73846578030424e-06     5.73846578030401e-06     3.45243833454761e-06
                     0.12        0.367180864268504        0.367180864268506         0.54217678984119      0.00125062531265633      0.00125062531265633      0.00125062531265633     0.000205485771831097      0.00116809948186683       0.0114463492890172     7.17314725508589e-06     7.17314725508583e-06      4.3155815272328e-06
                     0.12        0.367179816607889        0.367179816607922        0.542176006579177      0.00150075037518759      0.00150075037518759      0.00150075037518759     0.000205490906452929      0.00116812959244622       0.0114465574196385     8.60787208429893e-06     8.60787208429792e-06     5.17874712643477e-06
                     0.12        0.367178578435191        0.367178578435169        0.542175080885629      0.00175087543771886      0.00175087543771886      0.00175087543771886     0.000205496974713337      0.00116816517818062       0.0114468033946189     1.00426489401299e-05     1.00426489401307e-05     6.04193961394135e-06
                     0.12         0.36717714973647        0.367177149736477        0.542174012750463      0.00200100050025012      0.00200100050025012      0.00200100050025012     0.000205503976648876      0.00116820623932016       0.0114470872151644     1.14774864954621e-05     1.14774864954618e-05     6.90516347180381e-06
                     0.12        0.367175530494744        0.367175530494692        0.542172802161431      0.00225112556278139      0.00225112556278139      0.00225112556278139     0.000205511912294121      0.00116825277616428       0.0114474088826938     1.29123934240399e-05     1.29123934240422e-05     7.76842318239277e-06
                     0.12        0.367173720692618        0.367173720692623        0.542171449106201      0.00250125062531266      0.00250125062531266      0.00250125062531266     0.000205520781706291      0.00116830478902812       0.0114477683987632     1.43473784004759e-05     1.43473784004756e-05      8.6317232284067e-06
                     0.12        0.367171720308539        0.367171720308544         0.54216995356936      0.00275137568784392      0.00275137568784392      0.00275137568784392     0.000205530584929989      0.00116836227829012       0.0114481657651691       1.578245010053e-05     1.57824501005298e-05      9.4950680929654e-06
                     0.12        0.367169529320136        0.367169529320177        0.542168315534673      0.00300150075037519      0.00300150075037519      0.00300150075037519     0.000205541322025056      0.00116842524435352       0.0114486009838594     1.72176172010798e-05     1.72176172010774e-05     1.03584622596182e-05
                     0.12        0.367167147702466        0.367167147702395        0.542166534984384      0.00325162581290645      0.00325162581290645      0.00325162581290645      0.00020555299305593       0.0011684936876625       0.0114490740569794      1.8652888380315e-05     1.86528883803196e-05     1.12219102123964e-05
                     0.12        0.367164575427515        0.367164575427551        0.542164611898343      0.00350175087543772      0.00350175087543772      0.00350175087543772     0.000205565598083893      0.00116856760871074       0.0114495849868782     2.00882723179014e-05     2.00882723178989e-05     1.20854164358808e-05
                     0.12         0.36716181246666        0.367161812466682        0.542162546256101      0.00375187593796898      0.00375187593796898      0.00375187593796898     0.000205579137189868      0.00116864700801315       0.0114501337760638     2.15237776949392e-05     2.15237776949376e-05     1.29489854151959e-05
                     0.12        0.367158858788164        0.367158858788173        0.542160338034856      0.00400200100050025      0.00400200100050025      0.00400200100050025      0.00020559361045086      0.00116873188613417       0.0114507204272414     2.29594131942387e-05      2.2959413194238e-05     1.38126216361018e-05
                     0.12        0.367155714357744        0.367155714357744        0.542157987209918      0.00425212606303152      0.00425212606303152      0.00425212606303152     0.000205609017946456      0.00116882224368214       0.0114513449433215     2.43951875004151e-05     2.43951875004151e-05     1.46763295850319e-05
                     0.12        0.367152379140991        0.367152379140967        0.542155493756677      0.00450225112556278      0.00450225112556278      0.00450225112556278     0.000205625359780345      0.00116891808127916       0.0114520073273478     2.58311092998006e-05     2.58311092998028e-05     1.55401137490745e-05
                     0.12        0.367148853097897        0.367148853097916        0.542152857646534      0.00475237618809405      0.00475237618809405      0.00475237618809405     0.000205642636033326      0.00116901939962478       0.0114527075826361      2.7267187281026e-05     2.72671872810242e-05     1.64039786161454e-05
                     0.12         0.36714513618866        0.367145136188701        0.542150078850906      0.00500250125062531      0.00500250125062531      0.00500250125062531     0.000205660846809681      0.00116912619943171        0.011453445712625     2.87034301346481e-05      2.8703430134644e-05     1.72679286749049e-05
                     0.12        0.367141228372014        0.367141228371908        0.542147157340065      0.00525262631315658      0.00525262631315658      0.00525262631315658     0.000205679992225337      0.00116923848144438        0.011454221720932     3.01398465533853e-05     3.01398465533964e-05     1.81319684148337e-05
                     0.12        0.367137129601745        0.367137129601774        0.542144093081137      0.00550275137568784      0.00550275137568784      0.00550275137568784     0.000205700072382145      0.00116935624647243       0.0114550356114181     3.15764452325952e-05     3.15764452325921e-05     1.89961023263553e-05
                     0.12          0.3671328398315         0.36713283983159         0.54214088604053      0.00575287643821911      0.00575287643821911      0.00575287643821911     0.000205721087398619      0.00116947949534874       0.0114558873880939     3.30132348699148e-05     3.30132348699046e-05     1.98603349007899e-05
                     0.12        0.367128359011988        0.367128359012061        0.542137536183146      0.00600300150075037      0.00600300150075037      0.00600300150075037     0.000205743037397996      0.00116960822894723        0.011456777055169     3.44502241656628e-05     3.44502241656542e-05     2.07246706304278e-05
                     0.12        0.367123687093685        0.367123687093693        0.542134043473439      0.00625312656328164      0.00625312656328164      0.00625312656328164     0.000205765922523197      0.00116974244816092       0.0114577046169928     3.58874218226385e-05     3.58874218226375e-05     2.15891140085205e-05
                     0.12        0.367118824020387        0.367118824020333        0.542130407871094      0.00650325162581291      0.00650325162581291      0.00650325162581291     0.000205789742884738      0.00116988215397282       0.0114586700782122     3.73248365470275e-05     3.73248365470344e-05     2.24536695295306e-05
                     0.12        0.367113769738024        0.367113769738038        0.542126629337194      0.00675337668834417      0.00675337668834417      0.00675337668834417     0.000205814498634344      0.00117002734735659       0.0114596734435559     3.87624770474481e-05     3.87624770474462e-05     2.33183416888882e-05
                     0.12         0.36710852418878        0.367108524188887        0.542122707830464      0.00700350175087544      0.00700350175087544      0.00700350175087544     0.000205840189918528      0.00117017802934005       0.0114607147179777     4.02003520357816e-05     4.02003520357666e-05     2.41831349832076e-05
                     0.12        0.367103087312236        0.367103087312047        0.542118643307512       0.0072536268134067       0.0072536268134067       0.0072536268134067     0.000205866816883653      0.00117033420099772       0.0114617939066365     4.16384702271662e-05     4.16384702271933e-05      2.5048053910327e-05
                     0.12         0.36709745904554         0.36709745904576        0.542114435723443      0.00750375187593797      0.00750375187593797      0.00750375187593797     0.000205894379683141      0.00117049586344009       0.0114629110148657     4.30768403400996e-05     4.30768403400669e-05     2.59131029693217e-05
                     0.12        0.367091639325658        0.367091639325604        0.542110085032535      0.00775387693846923      0.00775387693846923      0.00775387693846923     0.000205922878484217      0.00117066301780599       0.0114640660481669     4.45154710962182e-05     4.45154710962265e-05     2.67782866605084e-05
                     0.12        0.367085628085111        0.367085628085167        0.542105591187041       0.0080040020010005       0.0080040020010005       0.0080040020010005     0.000205952313453422      0.00117083566528229       0.0114652590122528     4.59543712210457e-05     4.59543712210368e-05     2.76436094855577e-05
                     0.12        0.367079425254567        0.367079425254518        0.542100954136956      0.00825412706353176      0.00825412706353176      0.00825412706353176     0.000205982684756544      0.00117101380710358        0.011466489913044     4.73935494437412e-05     4.73935494437492e-05     2.85090759475541e-05
                     0.12        0.367073030764069        0.367073030763974        0.542096173831996      0.00850425212606303      0.00850425212606303      0.00850425212606303     0.000206013992579336      0.00117119744452189       0.0114677587565886      4.8833014497004e-05     4.88330144970201e-05     2.93746905509217e-05
                     0.12        0.367066444539356        0.367066444539319        0.542091250219124       0.0087543771885943       0.0087543771885943       0.0087543771885943     0.000206046237098821      0.00117138657884978       0.0114690655491828     5.02727751177956e-05      5.0272775117802e-05     3.02404578016217e-05
                     0.12         0.36705966650436        0.367059666504319        0.542086183243584      0.00900450225112556      0.00900450225112556      0.00900450225112556     0.000206079418497082      0.00117158121143882       0.0114704102973063      5.1712840047062e-05     5.17128400470693e-05      3.1106382207135e-05
                     0.12        0.367052696584938        0.367052696584922        0.542080972852331      0.00925462731365683      0.00925462731365683      0.00925462731365683     0.000206113537000251      0.00117178134362882       0.0114717930075234     5.31532180291601e-05     5.31532180291631e-05     3.19724682762689e-05
                     0.12        0.367045534695459        0.367045534695612        0.542075618984285      0.00950475237618809      0.00950475237618809      0.00950475237618809     0.000206148592762193      0.00117198697690283       0.0114732136868056     5.45939178144084e-05     5.45939178143796e-05     3.28387205198751e-05
                     0.12        0.367038180758763        0.367038180758555        0.542070121583398      0.00975487743871936      0.00975487743871936      0.00975487743871936     0.000206184586024137      0.00117219811267268        0.011474672342075     5.60349481555683e-05     5.60349481556086e-05     3.37051434499858e-05
                     0.12        0.367030634688331        0.367030634688373        0.542064480588551       0.0100050025012506       0.0100050025012506       0.0100050025012506     0.000206221516987432      0.00117241475245138       0.0114761689805798     5.74763178112434e-05     5.74763178112352e-05     3.45717415805643e-05
                     0.12        0.367022896397353        0.367022896397296        0.542058695936513       0.0102551275637819       0.0102551275637819       0.0102551275637819      0.00020625938585726      0.00117263689779203       0.0114777036097495     5.89180355443325e-05     5.89180355443443e-05      3.5438519427354e-05
                     0.12        0.367014965797338        0.367014965797507        0.542052767564569       0.0105052526263132       0.0105052526263132       0.0105052526263132     0.000206298192865485      0.00117286455026086       0.0114792762371608       6.036011012239e-05     6.03601101223548e-05     3.63054815077164e-05
                     0.12        0.367006842796928        0.367006842796672           0.542046695407       0.0107553776888444       0.0107553776888444       0.0107553776888444     0.000206337938234321      0.00117309771148359       0.0114808868706206     6.18025503179879e-05     6.18025503180426e-05     3.71726323409449e-05
                     0.12        0.366998527303891        0.366998527303911        0.542040479397699       0.0110055027513757       0.0110055027513757       0.0110055027513757     0.000206378622207119      0.00117333638310212        0.011482535518062     6.32453649084184e-05     6.32453649084143e-05      3.8039976448106e-05
                     0.12        0.366990019221635        0.366990019221398        0.542034119467475        0.011255627813907        0.011255627813907        0.011255627813907     0.000206420245012426      0.00117358056682783       0.0114842221876882     6.46885626765603e-05     6.46885626766133e-05      3.8907518352301e-05
