         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]     quarkDensityU[GeV^3]     quarkDensityD[GeV^3]     quarkDensityS[GeV^3]
                     0.13        0.323478392781104        0.323478392781104        0.506910596324243                        0                        0                        0     0.000355426606493327      0.00198089554185613       0.0179717088334245                        0                        0                        0
                     0.13        0.323478140205748         0.32347814020575        0.506910403075776     0.000250125062531266     0.000250125062531266     0.000250125062531266     0.000355427335636177      0.00198090007300804       0.0179717380796649     2.23263257833536e-06     2.23263257833542e-06     1.36495230042092e-06
                     0.13        0.323477382475164         0.32347738247516        0.506909823327041     0.000500250125062531     0.000500250125062531     0.000500250125062531     0.000355429523077121      0.00198091366650797        0.017971825818655     4.46528265575474e-06     4.46528265575475e-06     2.72991292092422e-06
                     0.13        0.323476119570258        0.323476119570285        0.506908857064118     0.000750375187593797     0.000750375187593797     0.000750375187593797     0.000355433168832502      0.00198093632253276       0.0179719720513805     6.69796773193336e-06     6.69796773193283e-06     4.09489018181653e-06
                     0.13        0.323474351459357        0.323474351459383        0.506907504263927      0.00100050025012506      0.00100050025012506      0.00100050025012506     0.000355438272931156      0.00198096804137589       0.0179721767794873     8.93070530774799e-06     8.93070530774725e-06     5.45989240385592e-06
                     0.13        0.323472078098322         0.32347207809835        0.506905764894322      0.00125062531265633      0.00125062531265633      0.00125062531265633     0.000355444835413284      0.00198100882344631       0.0179724400052637     1.11635128858712e-05     1.11635128858703e-05     6.82492790847673e-06
                     0.13        0.323469299427761        0.323469299427788         0.50690363891197      0.00150075037518759      0.00150075037518759      0.00150075037518759      0.00035545285632041      0.00198105866929214       0.0179727617317446     1.33964079714792e-05     1.33964079714781e-05     8.19000501805265e-06
                     0.13        0.323466015379355        0.323466015379453        0.506901126267173      0.00175087543771886      0.00175087543771886      0.00175087543771886     0.000355462335720549      0.00198111757954697       0.0179731419624931     1.56294080726407e-05     1.56294080726362e-05     9.55513205604932e-06
                     0.13        0.323462225867874        0.323462225867766        0.506898226897537      0.00200100050025012      0.00200100050025012      0.00200100050025012     0.000355473273674654      0.00198118555500006       0.0179735807018814     1.78625307012213e-05      1.7862530701227e-05     1.09203173473596e-05
                     0.13        0.323457930800052        0.323457930800055        0.506894940735316      0.00225112556278139      0.00225112556278139      0.00225112556278139     0.000355485670275706       0.0019812625965149       0.0179740779547657     2.00957933730942e-05     2.00957933730941e-05     1.22855692183869e-05
                     0.13        0.323453130063912         0.32345313006375        0.506891267698761      0.00250125062531266      0.00250125062531266      0.00250125062531266      0.00035549952560316      0.00198134870512601       0.0179746337268793     2.23292136092979e-05     2.23292136093087e-05     1.36508959974686e-05
                     0.13        0.323447823541362        0.323447823541407        0.506887207702074      0.00275137568784392      0.00275137568784392      0.00275137568784392     0.000355514839775556      0.00198144388192704       0.0179752480243773     2.45628089359149e-05     2.45628089359116e-05     1.50163060148487e-05
                     0.13        0.323442011094497        0.323442011094302         0.50688276064411      0.00300150075037519      0.00300150075037519      0.00300150075037519     0.000355531612889266      0.00198154812819655       0.0179759208543325     2.67965968855538e-05     2.67965968855695e-05     1.63818076032328e-05
                     0.13        0.323435692578053        0.323435692578454         0.50687792641983      0.00325162581290645      0.00325162581290645      0.00325162581290645     0.000355549845082508       0.0019816614452724        0.017976652224261     2.90305949971071e-05     2.90305949970722e-05     1.77474090976599e-05
                     0.13        0.323428867830199        0.323428867830168        0.506872704910651      0.00350175087543772      0.00350175087543772      0.00350175087543772     0.000355569536480232      0.00198178383465728       0.0179774421425107     3.12648208170368e-05     3.12648208170397e-05     1.91131188360531e-05
                     0.13        0.323421536679435        0.323421536679291         0.50686709599181      0.00375187593796898      0.00375187593796898      0.00375187593796898     0.000355590687236736       0.0019819152979362       0.0179782906179532     3.34992918994192e-05     3.34992918994337e-05     2.04789451591843e-05
                     0.13        0.323413698941055        0.323413698940849        0.506861099528546      0.00400200100050025      0.00400200100050025      0.00400200100050025     0.000355613297513449      0.00198205583682059       0.0179791976601527     3.57340258068217e-05     3.57340258068437e-05     2.18448964110344e-05
                     0.13        0.323405354412637        0.323405354412688        0.506854715373593      0.00425212606303152      0.00425212606303152      0.00425212606303152     0.000355637367465939       0.0019822054531764       0.0179801632794815     3.79690399838203e-05     3.79690399838145e-05     2.32109808115432e-05
                     0.13         0.32339650288517        0.323396502884926        0.506847943374283      0.00450225112556278      0.00450225112556278      0.00450225112556278     0.000355662897283098      0.00198236414894349       0.0179811874868015     4.02043522593934e-05     4.02043522594227e-05     2.45772069594644e-05
                     0.13        0.323387144130609        0.323387144130646        0.506840783364741      0.00475237618809405      0.00475237618809405      0.00475237618809405     0.000355689887142949      0.00198253192622333        0.017982270293798     4.24399801057261e-05     4.24399801057214e-05     2.59435830898029e-05
                     0.13        0.323377277914136        0.323377277914241        0.506833235173541      0.00500250125062531      0.00500250125062531      0.00500250125062531     0.000355718337257033      0.00198270878719362       0.0179834117126647     4.46759411253305e-05     4.46759411253164e-05     2.73101175615866e-05
                     0.13        0.323366903984593        0.323366903984977         0.50682529861747      0.00525262631315658      0.00525262631315658      0.00525262631315658      0.00035574824783324       0.0019828947341771       0.0179846117563465     4.69122529326882e-05     4.69122529326344e-05     2.86768187383227e-05
                     0.13        0.323356022079361         0.32335602207966        0.506816973505502      0.00550275137568784      0.00550275137568784      0.00550275137568784     0.000355779619101659      0.00198308976960019       0.0179858704384199     4.91489331542577e-05     4.91489331542139e-05     3.00436949880016e-05
                     0.13        0.323344631920526        0.323344631920455        0.506808259635211      0.00575287643821911      0.00575287643821911      0.00575287643821911     0.000355812451292469      0.00198329389602953       0.0179871877732034     5.13859994296304e-05     5.13859994296413e-05     3.14107546835504e-05
                     0.13        0.323332733216924        0.323332733217323        0.506799156794319      0.00600300150075037      0.00600300150075037      0.00600300150075037     0.000355846744643281      0.00198350711615438       0.0179885637756788     5.36234694118975e-05     5.36234694118335e-05     3.27780062029854e-05
                     0.13         0.32332032566831        0.323320325668283        0.506789664763449      0.00625312656328164      0.00625312656328164      0.00625312656328164     0.000355882499416545      0.00198372943275877       0.0179899984614099     5.58613607675748e-05     5.58613607675794e-05     3.41454579294422e-05
                     0.13        0.323307408954111        0.323307408954597         0.50677978330985      0.00650325162581291      0.00650325162581291      0.00650325162581291     0.000355919715866102      0.00198396084879065       0.0179914918468171      5.8099691179049e-05     5.80996911789646e-05     3.55131182518618e-05
                     0.13        0.323293982750555        0.323293982750426        0.506769512196657      0.00675337668834417      0.00675337668834417      0.00675337668834417     0.000355958394284372      0.00198420136725679       0.0179930439487316     6.03384783423455e-05     6.03384783423688e-05     3.68809955645352e-05
                     0.13        0.323280046714127         0.32328004671469        0.506758851175019      0.00700350175087544      0.00700350175087544      0.00700350175087544     0.000355998534964722      0.00198445099131402       0.0179946547848067     6.25777399705166e-05     6.25777399704112e-05     3.82490982679136e-05
                     0.13        0.323265600486399        0.323265600486464        0.506747799981901       0.0072536268134067       0.0072536268134067       0.0072536268134067     0.000356040138181805      0.00198470972428766       0.0179963243735089     6.48174937935519e-05     6.48174937935394e-05     3.96174347690704e-05
                     0.13        0.323250643701961        0.323250643701977        0.506736358352337      0.00750375187593797      0.00750375187593797      0.00750375187593797     0.000356083204268449      0.00198497756954275       0.0179980527337172     6.70577575574696e-05     6.70577575574664e-05     4.09860134809095e-05
                     0.13        0.323235175974221        0.323235175974517        0.506724526004331      0.00775387693846923      0.00775387693846923      0.00775387693846923     0.000356127733524312      0.00198525453064618       0.0179998398852681      6.9298549027677e-05     6.92985490276158e-05     4.23548428236798e-05
                     0.13        0.323219196912611        0.323219196912072        0.506712302652683       0.0080040020010005       0.0080040020010005       0.0080040020010005     0.000356173726297256      0.00198554061121481       0.0180016858484124     7.15398859861891e-05     7.15398859863044e-05     4.37239312240091e-05
                     0.13        0.323202706112758        0.323202706112823        0.506699688004315      0.00825412706353176      0.00825412706353176      0.00825412706353176     0.000356221182955599      0.00198583581496933       0.0180035906440152     7.37817862341116e-05     7.37817862340973e-05     4.50932871155002e-05
                     0.13         0.32318570313399        0.323185703134229        0.506686681736494      0.00850425212606303      0.00850425212606303      0.00850425212606303     0.000356270103770134      0.00198614014597191        0.018005554294476     7.60242675974045e-05     7.60242675973501e-05     4.64629189411462e-05
                     0.13        0.323168187566735        0.323168187566567        0.506673283551979       0.0087543771885943       0.0087543771885943       0.0087543771885943     0.000356320489215245       0.0019864536080186       0.0180075768213717     7.82673479125165e-05     7.82673479125559e-05     4.78328351481285e-05
                     0.13         0.32315015894328        0.323150158943301        0.506659493109004      0.00900450225112556      0.00900450225112556      0.00900450225112556     0.000356372339583685      0.00198677620541074       0.0180096582484245     8.05110450470073e-05     8.05110450470022e-05     4.92030441950238e-05
                     0.13        0.323131616814143        0.323131616814215        0.506645310081407      0.00925462731365683      0.00925462731365683      0.00925462731365683     0.000356425655324174      0.00198710794229633       0.0180117985990343     8.27553768827922e-05     8.27553768827745e-05     5.05735545459485e-05
                     0.13        0.323112560690099        0.323112560689103        0.506630734110876      0.00950475237618809      0.00950475237618809      0.00950475237618809     0.000356480436768128      0.00198744882318879       0.0180139978981641     8.50003613304529e-05     8.50003613307059e-05       5.194437467582e-05
                     0.13        0.323092990093782        0.323092990093923        0.506615764851948      0.00975487743871936      0.00975487743871936      0.00975487743871936     0.000356536684386125      0.00198779885247808       0.0180162561705538     8.72460163172981e-05     8.72460163172613e-05     5.33155130657084e-05
                     0.13        0.323072904514806        0.323072904515271        0.506600401932579       0.0100050025012506       0.0100050025012506       0.0100050025012506     0.000356594398570251      0.00198815803486467       0.0180185734423817     8.94923597991653e-05     8.94923597990411e-05     5.46869782074346e-05
                     0.13        0.323052303438685        0.323052303438755        0.506584644975963       0.0102551275637819       0.0102551275637819       0.0102551275637819     0.000356653579744355      0.00198852637510818       0.0180209497401794     9.17394097537889e-05     9.17394097537698e-05     5.60587786014041e-05
                     0.13        0.323031186336199        0.323031186337089         0.50656849359761       0.0105052526263132       0.0105052526263132       0.0105052526263132     0.000356714228361487      0.00198890387807395       0.0180233850911696     9.39871841841146e-05     9.39871841838644e-05     5.74309227571352e-05
                     0.13        0.323009552663345        0.323009552663734        0.506551947401978       0.0107553776888444       0.0107553776888444       0.0107553776888444     0.000356776344882001      0.00198929054876791       0.0180258795233649     9.62357011190027e-05     9.62357011188909e-05     5.88034191939056e-05
                     0.13         0.32298740185969        0.322987401859715        0.506535005980425       0.0110055027513757       0.0110055027513757       0.0110055027513757      0.00035683992975627       0.0019896863923493       0.0180284330655317     9.84849786144037e-05     9.84849786143964e-05     6.01762764412833e-05
                     0.13        0.322964733360824        0.322964733360748        0.506517668923328        0.011255627813907        0.011255627813907        0.011255627813907     0.000356904983499391       0.0019900914140079       0.0180310457468211     0.000100735034750351     0.000100735034750374     6.15495030377947e-05
                     0.13         0.32294154656613        0.322941546566315        0.506499935790117       0.0115057528764382       0.0115057528764382       0.0115057528764382     0.000356971506515577      0.00199050561928133       0.0180337175978552     0.000102985887641216     0.000102985887641159     6.29231075351441e-05
                     0.13        0.322917840895345        0.322917840894918        0.506481806160777       0.0117558779389695       0.0117558779389695       0.0117558779389695     0.000357039499398401      0.00199092901350665        0.018036448648822     0.000105237555419322     0.000105237555419456     6.42970984915669e-05
                     0.13        0.322893615731106        0.322893615731364        0.506463279586626       0.0120060030015007       0.0120060030015007       0.0120060030015007     0.000357108962646638      0.00199136160234753       0.0180392389313393     0.000107490056252922     0.000107490056252839     6.56714844786568e-05
                     0.13        0.322868870427782        0.322868870427618        0.506444355593671        0.012256128064032        0.012256128064032        0.012256128064032     0.000357179896683768      0.00199180339175611       0.0180420884783117     0.000109743408344744     0.000109743408344798     6.70462740814055e-05
                     0.13        0.322843604366048        0.322843604366531        0.506425033735531       0.0125062531265633       0.0125062531265633       0.0125062531265633     0.000357252302161434      0.00199225438740647       0.0180449973219096     0.000111997629914871      0.00011199762991471     6.84214758908009e-05
                     0.13        0.322817816877023        0.322817816876224        0.506405313520983       0.0127563781890945       0.0127563781890945       0.0127563781890945     0.000357326179542393      0.00199271459546969        0.018047965496317     0.000114252739225961     0.000114252739226234     6.97970985145207e-05
                     0.13        0.322791507296803        0.322791507296935        0.506385194469873       0.0130065032516258       0.0130065032516258       0.0130065032516258     0.000357401529425875      0.00199318402201881       0.0180509930356606     0.000116508754566126      0.00011650875456608     7.11731505690434e-05
                     0.13        0.322764674936844        0.322764674938008        0.506364676080724       0.0132566283141571       0.0132566283141571       0.0132566283141571     0.000357478352361412      0.00199366267337567       0.0180540799752414     0.000118765694259478     0.000118765694259065     7.25496406847024e-05
                     0.13        0.322737319102497        0.322737319102328        0.506343757843887       0.0135067533766883       0.0135067533766883       0.0135067533766883     0.000357556648913425      0.00199415055595724       0.0180572263508508     0.000121023576660456     0.000121023576660518     7.39265775039887e-05
                     0.13        0.322709439082953        0.322709439082246        0.506322439247511       0.0137568784392196       0.0137568784392196       0.0137568784392196      0.00035763641971899      0.00199464767623772       0.0180604321989224     0.000123282420157941     0.000123282420158202     7.53039696807976e-05
                     0.13        0.322681034143667        0.322681034143331        0.506300719753929       0.0140070035017509       0.0140070035017509       0.0140070035017509     0.000357717665327918      0.00199515404097381       0.0180636975570315     0.000125542243178845     0.000125542243178971     7.66818258845117e-05
                     0.13        0.322652103543687        0.322652103543817        0.506278598824339       0.0142571285642821       0.0142571285642821       0.0142571285642821     0.000357800386360362      0.00199566965695792       0.0180670224632107       0.0001278030641825      0.00012780306418245      7.8060154796293e-05
                     0.13        0.322622646529784         0.32262264653083        0.506256075910626       0.0145072536268134       0.0145072536268134       0.0145072536268134     0.000357884583452213      0.00199619453109748        0.018070406956138     0.000130064901663358     0.000130064901662951     7.94389651106205e-05
                     0.13        0.322592662337013        0.322592662336899        0.506233150455478       0.0147573786893447       0.0147573786893447       0.0147573786893447     0.000357970257260438      0.00199672867041666       0.0180738510751902     0.000132327774151394     0.000132327774151439     8.08182655355165e-05
                     0.13        0.322562150165021        0.322562150166228         0.50620982187754       0.0150075037518759       0.0150075037518759       0.0150075037518759     0.000358057408379533      0.00199727208221921       0.0180773548610502     0.000134591700222239     0.000134591700221753      8.2198064795447e-05
                     0.13        0.322531109232565        0.322531109231275        0.506186089606909       0.0152576288144072       0.0152576288144072       0.0152576288144072     0.000358146037536693      0.00199782477369748       0.0180809183542035     0.000136856698476281     0.000136856698476809     8.35783716253267e-05
                     0.13         0.32249953869789        0.322499538698174         0.50616195303311       0.0155077538769385       0.0155077538769385       0.0155077538769385     0.000358236145308912      0.00199838675250592       0.0180845415971664     0.000139122787571347      0.00013912278757123     8.49591947800871e-05
                     0.13        0.322467437744141        0.322467437743507        0.506137411559145       0.0157578789394697       0.0157578789394697       0.0157578789394697     0.000358327732415058      0.00199895802616255       0.0180882246321347     0.000141389986188856     0.000141389986189124      8.6340543025222e-05
                     0.13        0.322434805534025        0.322434805533493        0.506112464578527        0.016008004002001        0.016008004002001        0.016008004002001     0.000358420799597074      0.00199953860230871       0.0180919675020632      0.00014365831305266     0.000143658313052888     8.77224251410849e-05
                     0.13        0.322401641198296        0.322401641197862        0.506087111458271       0.0162581290645323       0.0162581290645323       0.0162581290645323     0.000358515347522063      0.00200012848889049       0.0180957702513053     0.000145927786934972     0.000145927786935161     8.91048499264453e-05
                     0.13        0.322367943869363        0.322367943869063        0.506061351565249       0.0165082541270635       0.0165082541270635       0.0165082541270635     0.000358611376922637      0.00200072769386367       0.0180996329244253     0.000148198426642776     0.000148198426642909      9.0487826193798e-05
                     0.13        0.322333712637721         0.32233371263898        0.506035184241377       0.0167583791895948       0.0167583791895948       0.0167583791895948     0.000358708888479612      0.00200133622548868        0.018103555567559     0.000150470251037578     0.000150470251037012     9.18713627744453e-05
                     0.13        0.322298946607467        0.322298946607899        0.506008608830345       0.0170085042521261       0.0170085042521261       0.0170085042521261     0.000358807882941188      0.00200195409200244       0.0181075382268113     0.000152743279011708     0.000152743279011511     9.32554685135529e-05
                     0.13        0.322263644861788        0.322263644863044        0.505981624669729       0.0172586293146573       0.0172586293146573       0.0172586293146573     0.000358908361107132      0.00200258130173893       0.0181115809490573     0.000155017529504058     0.000155017529503476     9.46401522718591e-05
                     0.13        0.322227806446367        0.322227806445416        0.505954231061671       0.0175087543771886       0.0175087543771886       0.0175087543771886     0.000359010323650117      0.00200321786342756       0.0181156837828584     0.000157293021508813     0.000157293021509261     9.60254229320192e-05
                     0.13        0.322191430435987        0.322191430433585        0.505926427336907       0.0177588794397199       0.0177588794397199       0.0177588794397199     0.000359113771474635      0.00200386378550195       0.0181198467759155     0.000159569774045194     0.000159569774046339     9.74112893856575e-05
                     0.13        0.322154515840355        0.322154515839836        0.505898212773922       0.0180090045022511       0.0180090045022511       0.0180090045022511     0.000359218705270843      0.00200451907698025       0.0181240699783928     0.000161847806202223     0.000161847806202474     9.87977605504617e-05
                     0.13        0.322117061676395        0.322117061675485         0.50586958665727       0.0182591295647824       0.0182591295647824       0.0182591295647824     0.000359325125841962      0.00200518374683491       0.0181283534405978     0.000164127137105719     0.000164127137106166     0.000100184845358351
                     0.13        0.322079066955931        0.322079066955499        0.505840548270383       0.0185092546273137       0.0185092546273137       0.0185092546273137     0.000359433034055567      0.00200585780406165       0.0181326972131345     0.000166407785924394     0.000166407785924608     0.000101572552757088
                     0.13        0.322040530634613         0.32204053063272        0.505811096849405       0.0187593796898449       0.0187593796898449       0.0187593796898449     0.000359542430593565      0.00200654125818545       0.0181371013488624     0.000168689771895995     0.000168689771896949     0.000102960891720787
                     0.13        0.322001451715025        0.322001451715754        0.505781231675345       0.0190095047523762       0.0190095047523762       0.0190095047523762     0.000359653316464804      0.00200723411826189       0.0181415658991738     0.000170973114276778     0.000170973114276405     0.000104349871229766
                     0.13        0.321961829126568        0.321961829125714         0.50575095196619       0.0192596298149075       0.0192596298149075       0.0192596298149075     0.000359765692407261      0.00200793639405053       0.0181460909183983     0.000173257832402315     0.000173257832402757      0.00010573950029487
                     0.13        0.321921661822963        0.321921661821648        0.505720256962697       0.0195097548774387       0.0195097548774387       0.0195097548774387      0.00035987955935499      0.00200864809506902       0.0181506764601358     0.000175543945639078     0.000175543945639768     0.000107129787938501
                     0.13        0.321880948688306        0.321880948687865        0.505689145852882         0.01975987993997         0.01975987993997         0.01975987993997     0.000359994918036427      0.00200936923143523       0.0181553225806251     0.000177831473433763     0.000177831473433997     0.000108520743212267
                     0.13        0.321839688665607        0.321839688665469        0.505657617869622       0.0200100050025013       0.0200100050025013       0.0200100050025013     0.000360111769498538      0.00201009981278532       0.0181600293344752     0.000180120435246719     0.000180120435246793     0.000109912375174497
                     0.13        0.321797880622514        0.321797880623482        0.505625672191231       0.0202601300650325       0.0202601300650325       0.0202601300650325       0.0003602301145719      0.00201083984937397       0.0181647967789883     0.000182410850623355     0.000182410850622828     0.000111304692913829
                     0.13        0.321755523420512        0.321755523419049         0.50559330798674       0.0205102551275638       0.0205102551275638       0.0205102551275638     0.000360349954109215      0.00201158935156419       0.0181696249720797     0.000184702739158769     0.000184702739159576     0.000112697705539028
                     0.13         0.32171261591055        0.321712615911544        0.505560524423419        0.020760380190095        0.020760380190095        0.020760380190095      0.00036047128903122      0.00201234832975362       0.0181745139720644     0.000186996120500629     0.000186996120500073     0.000114091422177379
                     0.13        0.321669156950987         0.32166915695347        0.505527320673027       0.0210105052526263       0.0210105052526263       0.0210105052526263     0.000360594120369984      0.00201311679431262       0.0181794638375131     0.000189291014339638     0.000189291014338233     0.000115485851973254
                     0.13        0.321625145340527        0.321625145340875        0.505493695860609       0.0212606303151576       0.0212606303151576       0.0212606303151576     0.000360718448975603      0.00201389475613284       0.0181844746292022     0.000191587440447901     0.000191587440447702     0.000116881004101248
                     0.13        0.321580579888165        0.321580579887025        0.505459649122657       0.0215107553776888       0.0215107553776888       0.0215107553776888     0.000360844275841397      0.00201468222599343       0.0181895464077527     0.000193885418640699     0.000193885418641359     0.000118276887751986
                     0.13        0.321535459368016        0.321535459369312        0.505425179568986       0.0217608804402201       0.0217608804402201       0.0217608804402201     0.000360971601894286      0.00201547921498017       0.0181946792352306     0.000196184968802856     0.000196184968802096     0.000119673512142048
                     0.13        0.321489782538175         0.32148978254012        0.505390286296068       0.0220110055027514       0.0220110055027514       0.0220110055027514     0.000361100428072702      0.00201628573434313        0.018199873174652     0.000198486110878998     0.000198486110877845     0.000121070886510973
                     0.13        0.321443548177673         0.32144354817626        0.505354968419095       0.0222611305652826       0.0222611305652826       0.0222611305652826     0.000361230755497891      0.00201710179514079       0.0182051282885718     0.000200788864852189     0.000200788864853036      0.00012246902011302
                     0.13         0.32139675500389        0.321396755004763        0.505319225005394       0.0225112556278139       0.0225112556278139       0.0225112556278139     0.000361362585100042      0.00201792740895769       0.0182104446417085     0.000203093250793561     0.000203093250793032     0.000123867922235024
                     0.13        0.321349401730785        0.321349401731427        0.505283055120669       0.0227613806903452       0.0227613806903452       0.0227613806903452     0.000361495917898032      0.00201876258742666       0.0182158222994288     0.000205399288828965     0.000205399288828572     0.000125267602184612
                     0.13        0.321301487040296        0.321301487040544        0.505246457810617       0.0230115057528764       0.0230115057528764       0.0230115057528764     0.000361630754884934       0.0020196073424132       0.0182212613282806      0.00020770699915708     0.000207706999156927     0.000126668069295444
                     0.13        0.321253009640027        0.321253009638981        0.505209432135137       0.0232616308154077       0.0232616308154077       0.0232616308154077     0.000361767097199206      0.00202046168562715       0.0182267617943323     0.000210016402014588     0.000210016402015244     0.000128069332918081
                     0.13        0.321203968156554        0.321203968157225        0.505171977097057        0.023511755877939        0.023511755877939        0.023511755877939     0.000361904945762936      0.00202132562942573       0.0182323237665408     0.000212327517743213     0.000212327517742787      0.00012947140244007
                     0.13        0.321154361249983        0.321154361248747        0.505134091723126       0.0237618809404702       0.0237618809404702       0.0237618809404702     0.000362044301711134      0.00202219918591926       0.0182379473131992      0.00021464036671933     0.000214640366720123     0.000130874287263791
                     0.13        0.321104187560777         0.32110418755907        0.505095775028848       0.0240120060030015       0.0240120060030015       0.0240120060030015     0.000362185166199288      0.00202308236735117        0.018243632503368      0.00021695496938753     0.000216954969388636     0.000132277996816389
                     0.13        0.321053445658425        0.321053445657996        0.505057025976962       0.0242621310655328       0.0242621310655328       0.0242621310655328     0.000362327540190607      0.00202397518656492        0.018249379408811     0.000219271346295175     0.000219271346295455     0.000133682540562225
                     0.13        0.321002134131405        0.321002134130939        0.505017843540879        0.024512256128064        0.024512256128064        0.024512256128064     0.000362471424782872      0.00202487765629086       0.0182551881010465     0.000221589518035577     0.000221589518035886     0.000135087927985091
                     0.13        0.320950251561361        0.320950251561011        0.504978226690446       0.0247623811905953       0.0247623811905953       0.0247623811905953     0.000362616821136242      0.00202578978930906       0.0182610586520373     0.000223909505264884     0.000223909505265119     0.000136494168592433
                     0.13        0.320897796499492        0.320897796499757        0.504938174377993       0.0250125062531266       0.0250125062531266       0.0250125062531266     0.000362763730416535      0.00202671159861823       0.0182669911350443     0.000226231328718535     0.000226231328718356     0.000137901271919763
                     0.13         0.32084476746531        0.320844767463923        0.504897685528934       0.0252626313156578       0.0252626313156578       0.0252626313156578     0.000362912153725647      0.00202764309752013       0.0182729856247376     0.000228555009213434     0.000228555009214381     0.000139309247533927
